,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by David Newman, William Flis, and the PG Online Distributed"
5,,Proofreading Team.
6,,
7,,
8,,
9,,
10,,
11,,[Illustration: (Smoker)]
12,,
13,,
14,,
15,,
16,PIPE AND POUCH,PIPE AND POUCH
17,PIPE AND POUCH,
18,THE,THE
19,THE,
20,SMOKER'S OWN BOOK OF POETRY,SMOKER'S OWN BOOK OF POETRY
21,SMOKER'S OWN BOOK OF POETRY,
22,COMPILED BY,COMPILED BY
23,COMPILED BY,
24,JOSEPH KNIGHT,JOSEPH KNIGHT
25,JOSEPH KNIGHT,
26,JOSEPH KNIGHT,[Illustration]
27,JOSEPH KNIGHT,
28,BOSTON,BOSTON
29,BOSTON,
30,JOSEPH KNIGHT COMPANY,JOSEPH KNIGHT COMPANY
31,JOSEPH KNIGHT COMPANY,
32,JOSEPH KNIGHT COMPANY,1895
33,JOSEPH KNIGHT COMPANY,
34,JOSEPH KNIGHT COMPANY,*       *       *       *       *
35,JOSEPH KNIGHT COMPANY,
36,JOSEPH KNIGHT COMPANY,
37,JOSEPH KNIGHT COMPANY,
38,JOSEPH KNIGHT COMPANY,
39,"_COPYRIGHT, 1894,_","_COPYRIGHT, 1894,_"
40,"_COPYRIGHT, 1894,_",
41,BY JOSEPH KNIGHT.,BY JOSEPH KNIGHT.
42,BY JOSEPH KNIGHT.,
43,UNIVERSITY PRESS:,UNIVERSITY PRESS:
44,UNIVERSITY PRESS:,
45,"JOHN WILSON AND SON, CAMBRIDGE, U.S.A.","JOHN WILSON AND SON, CAMBRIDGE, U.S.A."
46,"JOHN WILSON AND SON, CAMBRIDGE, U.S.A.",
47,"JOHN WILSON AND SON, CAMBRIDGE, U.S.A.",*       *       *       *       *
48,"JOHN WILSON AND SON, CAMBRIDGE, U.S.A.",
49,DEDICATED,DEDICATED
50,DEDICATED,
51,"TO MY FRIEND AND FELLOW-SMOKER,","TO MY FRIEND AND FELLOW-SMOKER,"
52,"TO MY FRIEND AND FELLOW-SMOKER,",
53,WALTER MONTGOMERY JACKSON.,WALTER MONTGOMERY JACKSON.
54,WALTER MONTGOMERY JACKSON.,
55,WALTER MONTGOMERY JACKSON.,*       *       *       *       *
56,WALTER MONTGOMERY JACKSON.,
57,WALTER MONTGOMERY JACKSON.,
58,WALTER MONTGOMERY JACKSON.,
59,WALTER MONTGOMERY JACKSON.,
60,PREFACE.,PREFACE.
61,PREFACE.,
62,PREFACE.,
63,PREFACE.,This is an age of anthologies. Collections of poetry covering a wide
64,PREFACE.,"range of subjects have appeared of late, and seem to have met with"
65,PREFACE.,"favor and approval. Not to the busy man only, but to the student of"
66,PREFACE.,literature such compilations are of value. It is sometimes objected
67,PREFACE.,that they tend to discourage wide reading and original research; but
68,PREFACE.,the overwhelming flood of books would seem to make them a necessity.
