,Poem Title,line
0,,
1,,
2,,
3,,
4,,Produced by Daniel Emerson Griffith and the Online
5,,Distributed Proofreading Team at https://www.pgdp.net (This
6,,file was produced from images generously made available
7,,by The Internet Archive)
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,SONGS OF THE MEXICAN SEAS,SONGS OF THE MEXICAN SEAS
18,SONGS OF THE MEXICAN SEAS,
19,BY JOAQUIN MILLER,BY JOAQUIN MILLER
20,"AUTHOR OF ""SONGS OF THE SIERRAS,"" ""SONGS OF ITALY,"" ETC.","AUTHOR OF ""SONGS OF THE SIERRAS,"" ""SONGS OF ITALY,"" ETC."
21,"AUTHOR OF ""SONGS OF THE SIERRAS,"" ""SONGS OF ITALY,"" ETC.",
22,"AUTHOR OF ""SONGS OF THE SIERRAS,"" ""SONGS OF ITALY,"" ETC.",
23,BOSTON,BOSTON
24,ROBERTS BROTHERS,ROBERTS BROTHERS
25,ROBERTS BROTHERS,1887
26,ROBERTS BROTHERS,
27,ROBERTS BROTHERS,
28,ROBERTS BROTHERS,"Copyright, 1887,"
29,ROBERTS BROTHERS,By Roberts Brothers.
30,ROBERTS BROTHERS,
31,UNIVERSITY PRESS:,UNIVERSITY PRESS:
32,UNIVERSITY PRESS:,"John Wilson and Son, Cambridge."
33,UNIVERSITY PRESS:,
34,UNIVERSITY PRESS:,
35,TO ABBIE.,TO ABBIE.
36,TO ABBIE.,
37,TO ABBIE.,
38,TO ABBIE.,"NOTE.--The lines in this little book, as in all my others, were"
39,TO ABBIE.,"written, or at least conceived, in the lands where the scenes are"
40,TO ABBIE.,"laid; so that whatever may be said of the imperfections of my work,"
41,TO ABBIE.,I at least have the correct atmosphere and color. I have now and
42,TO ABBIE.,"then sent forth from Mexico, and from remoter shores of the Gulf,"
43,TO ABBIE.,"fragments of these thoughts as they rounded into form, and some"
44,TO ABBIE.,"of them have been used at a Dartmouth College Commencement, and"
45,TO ABBIE.,elsewhere; but as a whole the book is new.
46,TO ABBIE.,
47,TO ABBIE.,"From the heart of the Sierra, where I once more hear the awful"
48,TO ABBIE.,"heart-throbs of Nature, I now intrust the first reception of these"
49,TO ABBIE.,"lessons entirely to my own country. And may I not ask in return,"
50,TO ABBIE.,"now at the last, when the shadows begin to grow long, something"
51,TO ABBIE.,"of that consideration which, thus far, has been accorded almost"
52,TO ABBIE.,entirely by strangers?
53,TO ABBIE.,
54,TO ABBIE.,Joaquin Miller.
55,TO ABBIE.,
56,TO ABBIE.,"Mount Shasta, California,"
57,A.D. 1887.,A.D. 1887.
58,A.D. 1887.,
59,A.D. 1887.,
60,A.D. 1887.,
61,A.D. 1887.,
62,SONGS OF THE MEXICAN SEAS.,SONGS OF THE MEXICAN SEAS.
63,SONGS OF THE MEXICAN SEAS.,
64,SONGS OF THE MEXICAN SEAS.,
