,Poem Title,line
141,LEMUEL KAYHART,On the slope of the hill.
142,LEMUEL KAYHART,
143,LEMUEL KAYHART,"I’d go in the morning,"
144,LEMUEL KAYHART,"So happy and free,"
145,LEMUEL KAYHART,And linger till twilight
146,LEMUEL KAYHART,Approaching I’d see;
147,LEMUEL KAYHART,"With brothers, and sisters,"
148,LEMUEL KAYHART,"I played with a will,"
149,LEMUEL KAYHART,In the green shady woods
150,LEMUEL KAYHART,On the slope of the hill.
151,LEMUEL KAYHART,
152,LEMUEL KAYHART,Where the songs of the birds
153,LEMUEL KAYHART,Re-echo and die;
154,LEMUEL KAYHART,"Where the cool, fresh breezes"
155,LEMUEL KAYHART,So playfully sigh;
156,LEMUEL KAYHART,"Where we listened with joy,"
157,LEMUEL KAYHART,"To the rippling rill,"
158,LEMUEL KAYHART,In the green shady woods
159,LEMUEL KAYHART,On the slope of the hill.
160,LEMUEL KAYHART,
161,LEMUEL KAYHART,"And there to that clear, cool,"
162,LEMUEL KAYHART,"Crystal spring we’d go,"
163,LEMUEL KAYHART,And down on our knees to
164,LEMUEL KAYHART,"Its fountain bow low,"
165,LEMUEL KAYHART,Like the waters of life
166,LEMUEL KAYHART,"Our souls it would thrill,"
167,LEMUEL KAYHART,In the green shady woods
168,LEMUEL KAYHART,On the slope of the hill.
169,LEMUEL KAYHART,
170,LEMUEL KAYHART,"I’ve roamed over landscapes,"
171,LEMUEL KAYHART,"Through country and town,"
172,LEMUEL KAYHART,I’ve wandered through cities
173,LEMUEL KAYHART,The streets up and down;
174,LEMUEL KAYHART,"But no place do I find,"
175,LEMUEL KAYHART,"Though quiet and still,"
176,LEMUEL KAYHART,Like the green shady woods
177,LEMUEL KAYHART,On the slope of the hill.
178,LEMUEL KAYHART,
179,LEMUEL KAYHART,Oh! give me the place where
180,LEMUEL KAYHART,I wantonly strayed;
181,LEMUEL KAYHART,Where in hot summer days
182,LEMUEL KAYHART,My weary head laid;
183,LEMUEL KAYHART,Oh! give me the place where
184,LEMUEL KAYHART,"All’s quiet and still,"
185,LEMUEL KAYHART,In the green shady woods
186,LEMUEL KAYHART,On the slope of the hill.
187,LEMUEL KAYHART,
188,LEMUEL KAYHART,"And this be my wish,"
189,LEMUEL KAYHART,"In my last fleeting breath,"
190,LEMUEL KAYHART,When this mortal body
