,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Larry B. Harrison, Chuck Greif and the Online"
5,,Distributed Proofreading Team at http://www.pgdp.net (This
6,,file was produced from images generously made available
7,,by The Internet Archive)
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,POEMS,POEMS
18,POEMS,
19,OF,OF
20,OF,
21,CLARENCE COOK,CLARENCE COOK
22,CLARENCE COOK,
23,CLARENCE COOK,[Illustration: CLARENCE C. COOK
24,CLARENCE COOK,
25,AT THE AGE OF 36,AT THE AGE OF 36
26,AT THE AGE OF 36,
27,"FROM A PEN-AND-INK DRAWING MADE IN 1864 BY THOMAS C. FARRAR, PUPIL OF","FROM A PEN-AND-INK DRAWING MADE IN 1864 BY THOMAS C. FARRAR, PUPIL OF"
28,JOHN RUSKIN],JOHN RUSKIN]
29,JOHN RUSKIN],
30,JOHN RUSKIN],
31,JOHN RUSKIN],
32,JOHN RUSKIN],
33,POEMS,POEMS
34,POEMS,
35,BY,BY
36,BY,
37,CLARENCE COOK,CLARENCE COOK
38,CLARENCE COOK,
39,CLARENCE COOK,[Illustration: colophon]
40,CLARENCE COOK,
41,NEW YORK,NEW YORK
42,NEW YORK,
43,NEW YORK,1902
44,NEW YORK,
45,NEW YORK,
46,"COPYRIGHT, 1902","COPYRIGHT, 1902"
47,BY LOUISA W. COOK,BY LOUISA W. COOK
48,BY LOUISA W. COOK,
49,BY LOUISA W. COOK,
50,PRIVATELY PRINTED,PRIVATELY PRINTED
51,"AT THE GILLISS PRESS, NEW YORK","AT THE GILLISS PRESS, NEW YORK"
52,FOR LOUISA W. COOK,FOR LOUISA W. COOK
53,AND HER FRIENDS,AND HER FRIENDS
54,AND HER FRIENDS,1902
55,AND HER FRIENDS,
56,AND HER FRIENDS,
57,AND HER FRIENDS,
58,AND HER FRIENDS,
59,THIS LITTLE VOLUME,THIS LITTLE VOLUME
60,OF PUBLISHED AND UNPUBLISHED VERSES,OF PUBLISHED AND UNPUBLISHED VERSES
61,BY THE LATE,BY THE LATE
62,BY THE LATE,
63,CLARENCE COOK,CLARENCE COOK
64,CLARENCE COOK,
65,IS DEDICATED TO HIS MANY FRIENDS AND LOVERS,IS DEDICATED TO HIS MANY FRIENDS AND LOVERS
66,BY HIS WIFE,BY HIS WIFE
67,BY HIS WIFE,
68,LOUISA W. COOK,LOUISA W. COOK
69,LOUISA W. COOK,
70,LOUISA W. COOK,
71,LOUISA W. COOK,
72,LOUISA W. COOK,
73,CHRONOLOGY,CHRONOLOGY
74,CHRONOLOGY,
75,CHRONOLOGY,
76,CHRONOLOGY,1828
77,CHRONOLOGY,
78,CHRONOLOGY,"September 8th, Clarence Chatham Cook born at Dorchester, Massachusetts."
79,CHRONOLOGY,
80,CHRONOLOGY,
81,CHRONOLOGY,1849
82,CHRONOLOGY,
