,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Clytie Siddall, Jon Ingram, Keren Vergon, and"
5,,PG Distributed Proofreaders
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,GEORGIAN POETRY,GEORGIAN POETRY
17,GEORGIAN POETRY,
18,GEORGIAN POETRY,
19,GEORGIAN POETRY,
20,GEORGIAN POETRY,1913-1915
21,GEORGIAN POETRY,
22,GEORGIAN POETRY,
23,GEORGIAN POETRY,
24,IN MEMORIAM,IN MEMORIAM
25,IN MEMORIAM,
26,IN MEMORIAM,
27,R.B.,R.B.
28,R.B.,
29,R.B.,
30,J.E.F.,J.E.F.
31,J.E.F.,
32,J.E.F.,
33,J.E.F.,
34,J.E.F.,
35,PREFATORY NOTE,PREFATORY NOTE
36,PREFATORY NOTE,
37,PREFATORY NOTE,The object of 'Georgian Poetry' 1911-1912 was to give a convenient
38,PREFATORY NOTE,survey of the work published within two years by some poets of the newer
39,PREFATORY NOTE,"generation. The book was welcomed; and perhaps, even in a time like"
40,PREFATORY NOTE,"this, those whom it interested may care to have a corresponding volume"
41,PREFATORY NOTE,for the three years which have since passed.
42,PREFATORY NOTE,
43,PREFATORY NOTE,"Two of the poets--I think the youngest, and certainly not the least"
44,PREFATORY NOTE,"gifted--are dead. Rupert Brooke, who seemed to have everything that is"
45,PREFATORY NOTE,"worth having, died last April in the service of his country. James Elroy"
46,PREFATORY NOTE,"Flecker, to whom life and death were less generous, died in January"
47,PREFATORY NOTE,after a long and disabling illness.
48,PREFATORY NOTE,
49,PREFATORY NOTE,A few of the contributors to the former volume are not represented in
50,PREFATORY NOTE,"this one, either because they have published nothing which comes within"
51,PREFATORY NOTE,"its scope, or because they belong in fact to an earlier poetic"
52,PREFATORY NOTE,"generation, and their inclusion must be allowed to have been an"
53,PREFATORY NOTE,anachronism. Two names are added.
54,PREFATORY NOTE,
55,PREFATORY NOTE,The alphabetical arrangement of the writers has been modified in order
56,PREFATORY NOTE,to recognize the honour which Mr Gordon Bottomley has done to the book
57,PREFATORY NOTE,by allowing his play to be first published here.
58,PREFATORY NOTE,
59,PREFATORY NOTE,"My thanks for permission to print the poems are due to Messrs Constable,"
60,PREFATORY NOTE,"Duckworth, Heinemann, Herbert Jenkins, Macmillan, Elkin Mathews,"
61,PREFATORY NOTE,"Methuen, Martin Seeker, and Sidgwick and Jackson; and to the Editors of"
62,PREFATORY NOTE,"'Country Life', the 'English Review, Flying Fame, New Numbers', the 'New"
63,PREFATORY NOTE,"Statesman', and the 'Westminster Gazette'."
64,PREFATORY NOTE,
65,E. M.,E. M.
66,E. M.,
67,E. M.,Oct. 1915.
68,E. M.,
69,E. M.,
70,E. M.,
71,E. M.,
72,E. M.,
73,CONTENTS,CONTENTS
74,CONTENTS,
75,CONTENTS,
76,CONTENTS,
