,Poem Title,line
0,,
1,,
2,,
3,,
4,,Produced by Al Haines.
5,,
6,,
7,,
8,,
9,,[Illustration: Cover]
10,,
11,,
12,,
13,,
14,POEMS,POEMS
15,POEMS,
16,POEMS,1916-1918
17,POEMS,
18,POEMS,
19,BY,BY
20,BY,
21,FRANCIS BRETT YOUNG,FRANCIS BRETT YOUNG
22,FRANCIS BRETT YOUNG,
23,FRANCIS BRETT YOUNG,
24,FRANCIS BRETT YOUNG,
25,FRANCIS BRETT YOUNG,
26,LONDON: 48 PALL MALL,LONDON: 48 PALL MALL
27,W. COLLINS SONS & CO. LTD.,W. COLLINS SONS & CO. LTD.
28,GLASGOW MELBOURNE AUCKLAND,GLASGOW MELBOURNE AUCKLAND
29,GLASGOW MELBOURNE AUCKLAND,
30,GLASGOW MELBOURNE AUCKLAND,
31,GLASGOW MELBOURNE AUCKLAND,
32,GLASGOW MELBOURNE AUCKLAND,
33,GLASGOW MELBOURNE AUCKLAND,Copyright 1919
34,GLASGOW MELBOURNE AUCKLAND,
35,GLASGOW MELBOURNE AUCKLAND,
36,GLASGOW MELBOURNE AUCKLAND,
37,BY THE SAME AUTHOR,BY THE SAME AUTHOR
38,BY THE SAME AUTHOR,
39,BY THE SAME AUTHOR,_Novels:_
40,BY THE SAME AUTHOR,
41,THE YOUNG PHYSICIAN,THE YOUNG PHYSICIAN
42,THE CRESCENT MOON,THE CRESCENT MOON
43,THE IRON AGE,THE IRON AGE
44,THE DARK TOWER,THE DARK TOWER
45,DEEP SEA,DEEP SEA
46,DEEP SEA,UNDERGROWTH (with E. Brett Young)
47,DEEP SEA,
48,DEEP SEA,
49,DEEP SEA,_Poems:_
50,DEEP SEA,
51,FIVE DEGREES SOUTH,FIVE DEGREES SOUTH
52,FIVE DEGREES SOUTH,
53,FIVE DEGREES SOUTH,
54,FIVE DEGREES SOUTH,_Belles Lettres:_
55,FIVE DEGREES SOUTH,
56,FIVE DEGREES SOUTH,ROBERT BRIDGES: A Critical Study
57,MARCHING ON TANGA,MARCHING ON TANGA
58,MARCHING ON TANGA,
59,MARCHING ON TANGA,
60,MARCHING ON TANGA,
61,MARCHING ON TANGA,
62,TO,TO
63,EDYTH GOODALL,EDYTH GOODALL
64,EDYTH GOODALL,
65,EDYTH GOODALL,
66,EDYTH GOODALL,_Remember thus our sweet conspiracy:
67,EDYTH GOODALL,"That I, having dreamed a lovely thing, with dull"
68,EDYTH GOODALL,Words marred it--and you gave it back to me
69,EDYTH GOODALL,"A thousand, thousand times more beautiful._"
70,EDYTH GOODALL,
71,EDYTH GOODALL,
72,EDYTH GOODALL,
73,EDYTH GOODALL,
74,ERRATA,ERRATA
75,ERRATA,
76,ERRATA,"Page 26, line 17, _for_ ""Lybian"" _read_ ""Libyan."""
77,ERRATA,"Page 46, line  9, _for_ ""lythe"" _read_ ""lithe."""
