,Poem Title,line
0,,
1,,
2,,
3,,
4,,Produced by Al Haines
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,[Frontispiece: T. A. Browne]
14,,
15,,
16,,
17,,
18,THE BELGIAN MOTHER,THE BELGIAN MOTHER
19,THE BELGIAN MOTHER,
20,AND,AND
21,AND,
22,BALLADS OF BATTLE TIME,BALLADS OF BATTLE TIME
23,BALLADS OF BATTLE TIME,
24,BALLADS OF BATTLE TIME,
25,BALLADS OF BATTLE TIME,By
26,T. A. BROWNE,T. A. BROWNE
27,T. A. BROWNE,
28,T. A. BROWNE,
29,T. A. BROWNE,
30,SECOND EDITION,SECOND EDITION
31,SECOND EDITION,
32,SECOND EDITION,
33,SECOND EDITION,
34,"TORONTO: THE MACMILLAN COMPANY OF CANADA,","TORONTO: THE MACMILLAN COMPANY OF CANADA,"
35,"LIMITED, AT ST. MARTIN'S HOUSE :: :: MCMXVII","LIMITED, AT ST. MARTIN'S HOUSE :: :: MCMXVII"
36,"LIMITED, AT ST. MARTIN'S HOUSE :: :: MCMXVII",
37,"LIMITED, AT ST. MARTIN'S HOUSE :: :: MCMXVII",
38,"LIMITED, AT ST. MARTIN'S HOUSE :: :: MCMXVII",
39,"LIMITED, AT ST. MARTIN'S HOUSE :: :: MCMXVII",
40,"COPYRIGHT, CANADA, 1917","COPYRIGHT, CANADA, 1917"
41,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED","BY THE MACMILLAN COMPANY OF CANADA, LIMITED"
42,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
43,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
44,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
45,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
46,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",Dedicated
47,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",to
48,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
49,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED","The Great War Veterans living,"
50,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED","and dead, by whose exalted"
51,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",patriotism and heroic sacrifice
52,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",in war the British Empire
53,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",was preserved
54,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
55,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
56,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
57,"BY THE MACMILLAN COMPANY OF CANADA, LIMITED",
58,CANADA,CANADA
59,CANADA,
60,CANADA,
61,TO THE VETERANS OF THE GREAT WAR,TO THE VETERANS OF THE GREAT WAR
62,TO THE VETERANS OF THE GREAT WAR,
