,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Ted Garvin, Tonya Allen and PG Distributed Proofreaders"
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,THE RED FLOWER,THE RED FLOWER
15,THE RED FLOWER,
16,POEMS WRITTEN IN WAR TIME,POEMS WRITTEN IN WAR TIME
17,POEMS WRITTEN IN WAR TIME,
18,BY,BY
19,HENRY VAN DYKE,HENRY VAN DYKE
20,D.O.L. (OXON.),D.O.L. (OXON.)
21,D.O.L. (OXON.),
22,D.O.L. (OXON.),
23,D.O.L. (OXON.),1919
24,D.O.L. (OXON.),
25,D.O.L. (OXON.),
26,D.O.L. (OXON.),
27,PREFACE,PREFACE
28,PREFACE,
29,PREFACE,
30,PREFACE,These are verses that came to me in this dreadful war time amid the cares
31,PREFACE,and labors of a heavy task.
32,PREFACE,
33,PREFACE,"Two of the poems, ""A Scrap of Paper"" and ""Stand Fast,"" were written in"
34,PREFACE,1914 and bore the signature _Civis Americanus_--the use of my own
35,PREFACE,"name at the time being impossible. Two others, ""Lights Out"" and ""Remarks"
36,PREFACE,"about Kings,"" were read for me by Robert Underwood Johnson at the meeting"
37,PREFACE,"of the American Academy in Boston, November, 1915, at which I was unable"
38,PREFACE,to be present.
39,PREFACE,
40,PREFACE,The rest of the verses were printed after I had resigned my diplomatic post
41,PREFACE,"and was free to say what I thought and felt, without reserve."
42,PREFACE,
43,PREFACE,"The ""Interludes in Holland"" are thoughts of the peaceful things that will"
44,PREFACE,abide for all the world after we have won this war against war.
45,PREFACE,
46,PREFACE,"SYLVANORA, October 1, 1917."
47,PREFACE,
48,PREFACE,
49,PREFACE,
50,PREFACE,
51,CONTENTS,CONTENTS
52,CONTENTS,
53,CONTENTS,
54,PREMONITION,PREMONITION
55,"THE RED FLOWER (JUNE, 1914)","THE RED FLOWER (JUNE, 1914)"
56,"THE RED FLOWER (JUNE, 1914)",
57,THE TRIAL AS BY FIRE,THE TRIAL AS BY FIRE
58,A SCRAP OF PAPER,A SCRAP OF PAPER
59,STAND FAST,STAND FAST
60,LIGHTS OUT (1915),LIGHTS OUT (1915)
61,REMARKS ABOUT KINGS,REMARKS ABOUT KINGS
62,WAR-MUSIC,WAR-MUSIC
63,MIGHT AND RIGHT,MIGHT AND RIGHT
64,THE PRICE OF PEACE,THE PRICE OF PEACE
65,STORM-MUSIC,STORM-MUSIC
66,STORM-MUSIC,
67,FRANCE AND BELGIUM,FRANCE AND BELGIUM
68,"THE BELLS OP MALINES (AUGUST 17, 1914)","THE BELLS OP MALINES (AUGUST 17, 1914)"
69,THE NAME OF FRANCE,THE NAME OF FRANCE
70,JEANNE D'ARC RETURNS (1914-1916),JEANNE D'ARC RETURNS (1914-1916)
71,JEANNE D'ARC RETURNS (1914-1916),
