,Poem Title,line
0,,
1,,
2,,"E-text prepared by Ted Garvin, Sjaani, and Project Gutenberg Distributed"
3,,Proofreaders
4,,
5,,
6,,
7,FAIRIES AND FUSILIERS,FAIRIES AND FUSILIERS
8,FAIRIES AND FUSILIERS,
9,BY,BY
10,BY,
11,ROBERT GRAVES,ROBERT GRAVES
12,ROBERT GRAVES,
13,ROBERT GRAVES,1918
14,ROBERT GRAVES,
15,ROBERT GRAVES,
16,ROBERT GRAVES,
17,ROBERT GRAVES,
18,ROBERT GRAVES,
19,ROBERT GRAVES,
20,ROBERT GRAVES,
21,ROBERT GRAVES,
22,TO,TO
23,TO,
24,THE ROYAL WELCH FUSILIERS,THE ROYAL WELCH FUSILIERS
25,THE ROYAL WELCH FUSILIERS,
26,THE ROYAL WELCH FUSILIERS,"_I have to thank Mr. Harold Monro, of The"
27,THE ROYAL WELCH FUSILIERS,"Poetry Book Shop, for permission to include"
28,THE ROYAL WELCH FUSILIERS,in this volume certain poems of which he
29,THE ROYAL WELCH FUSILIERS,possesses the copyright; also the editor of the
30,THE ROYAL WELCH FUSILIERS,"""Nation"" for a similar courtesy._"
31,THE ROYAL WELCH FUSILIERS,
32,R.G.,R.G.
33,R.G.,
34,R.G.,
35,R.G.,
36,R.G.,
37,CONTENTS,CONTENTS
38,CONTENTS,
39,TO AN UNGENTLE CRITIC,TO AN UNGENTLE CRITIC
40,AN OLD TWENTY-THIRD MAN,AN OLD TWENTY-THIRD MAN
41,TO LUCASTA ON GOING TO THE WAR--FOR THE FOURTH TIME,TO LUCASTA ON GOING TO THE WAR--FOR THE FOURTH TIME
42,TWO FUSILIERS,TWO FUSILIERS
43,TO ROBERT NICHOLS,TO ROBERT NICHOLS
44,DEAD COW FARM,DEAD COW FARM
45,GOLIATH AND DAVID,GOLIATH AND DAVID
46,BABYLON,BABYLON
47,MR. PHILOSOPHER,MR. PHILOSOPHER
48,THE CRUEL MOON,THE CRUEL MOON
49,FINLAND,FINLAND
50,A PINCH OF SALT,A PINCH OF SALT
51,THE CATERPILLAR,THE CATERPILLAR
52,SORLEY'S WEATHER,SORLEY'S WEATHER
53,THE COTTAGE,THE COTTAGE
54,THE LAST POST,THE LAST POST
55,WHEN I'M KILLED,WHEN I'M KILLED
56,LETTER TO S.S. FROM MAMETZ WOOD,LETTER TO S.S. FROM MAMETZ WOOD
57,A DEAD BOCHE,A DEAD BOCHE
58,FAUN,FAUN
59,THE SPOILSPORT,THE SPOILSPORT
60,THE SHIVERING BEGGAR,THE SHIVERING BEGGAR
61,JONAH,JONAH
62,JOHN SKELTON,JOHN SKELTON
63,I WONDER WHAT IT FEELS LIKE TO BE DROWNED?,I WONDER WHAT IT FEELS LIKE TO BE DROWNED?
64,DOUBLE RED DAISIES,DOUBLE RED DAISIES
65,CAREERS,CAREERS
