,Poem Title,Stanza
0,,Produced by David Garcia and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Kentuckiana Digital Library) 
1,THE ANGEL OF THOUGHT,THE ANGEL OF THOUGHT 
2,THE ANGEL OF THOUGHT,THE ANGEL OF THOUGHT and Other Poems 
3,THE ANGEL OF THOUGHT,_Impressions from Old Masters_ 
4,ETHEL ALLEN MURPHY,ETHEL ALLEN MURPHY 
5,RICHARD G. BADGER,BOSTON RICHARD G. BADGER The Gorham Press 1909 
6,RICHARD G. BADGER,"_Copyright 1908, by Ethel Allen Murphy_ _All Rights Reserved_ _The Gorham Press, Boston, U.S.A._ "
7,TO MY FRIEND AND TEACHER ANNA J. HAMILTON,TO MY FRIEND AND TEACHER ANNA J. HAMILTON 
8,TO MY FRIEND AND TEACHER ANNA J. HAMILTON,"The writer wishes to express her gratitude to the Art Department of the Indiana University, whose kindness in lending the pictures which suggested the verses, and whose mission in opening some of their meanings to her spirit, have helped to make possible this little book. "
9,_CONTENTS_,_CONTENTS_ 
10,_CONTENTS_,_The Angel of Thought_                                            13 (_Suggested by a Fra Angelico Angel._) 
11,_CONTENTS_,_Annunciation--Sonnet I_                                          15 
12,_CONTENTS_,_Annunciation--Sonnet II_                                         17 (_From the picture by Botticelli._) 
13,_CONTENTS_,"_The Visitation_                                                  19 (_From the picture in Dürer's series on ""The Life of the Virgin""_) "
14,_CONTENTS_,_A Botticelli Madonna._ 
15,_CONTENTS_,_I.  The Wondering Angels_                                        21 (_From the Madonna of the Magnificat._) 
16,_CONTENTS_,_II.  The Mournful Mother_                                        23 (_From the Madonna of the Pomegranate._) 
17,_CONTENTS_,_III.  The Loving Christ_                                         25 (_From the Madonna of the Rose Garden._) 
18,_CONTENTS_,"_The Angel of the Jasmine Wreath_                                 27 (_From Botticelli's painting, in the Borghese Gallery, of the Madonna and Child with Angels._) "
19,_CONTENTS_,"_A Prayer for the Followers of Ideal Beauty_                      29 (_With a pencil sketch of an angel, by Botticelli._) "
20,_ILLUSTRATIONS_,_ILLUSTRATIONS_ 
21,_ILLUSTRATIONS_,"1. _Angel--""Te Deum Laudamus,"" by  Fra Angelico._                 12 "
22,_ILLUSTRATIONS_,"2. _""The Annunciation""--by Botticelli._                           14 "
23,_ILLUSTRATIONS_,"3. _""The Visitation"" (From the picture in the series on ""The Life of the Virgin,"") by Dürer._                          18 "
24,_ILLUSTRATIONS_,"4. _""The Madonna of the Magnificat""--by Botticelli._              20 "
25,_ILLUSTRATIONS_,"5. _""The Madonna of the Pomegranate""--by Botticelli._             22 "
26,_ILLUSTRATIONS_,"6. _""The Madonna of the Rose Garden""--by Botticelli._             24 "
27,_ILLUSTRATIONS_,7. _The Angel Crowned with a Jasmine Wreath--by Botticelli._      26 
28,_ILLUSTRATIONS_,8. _Pencil Sketch of an Angel--by Botticelli_.                    28 
