,Poem Title,Stanza
0,,Copyright (C) 2003 Scribolin 
1,ISBN 0-9746226-0-5,For info visit: www.scribolin.com Printed in USA Copyright (C) 2003 Scribolin ISBN 0-9746226-0-5 
2,ISBN 0-9746226-0-5,A Hero and a Great Man 
3,ISBN 0-9746226-0-5,Story by Francis Kruckvich 
4,ISBN 0-9746226-0-5,Illustrations by Fritz _________________________________________________________________ 
5,ISBN 0-9746226-0-5,A Hero and A Great Man 
6,ISBN 0-9746226-0-5,We hang the petty thieves and appoint the great ones to public office - Aesop 
7,ISBN 0-9746226-0-5,They say knowledge is power. Power walks with ambition. Ambition will devour A man without vision. 
8,ISBN 0-9746226-0-5,"Through a turbid town, A great man walks. Through a troubled town, A great man talks. "
9,ISBN 0-9746226-0-5,He tells tales of bravery. On attention he feeds. With speech most savory He boasts of great deeds. 
10,ISBN 0-9746226-0-5,He is well respected. He enjoys much recognition. He hopes to be selected For a prestigious position. 
11,ISBN 0-9746226-0-5,"He likes to be seen. He likes to be heard. When he is on the scene, He fills the air with word. _________________________________________________________________ "
12,ISBN 0-9746226-0-5,"As greatness is a need This need is his fate. He is as great indeed, As his need to feel great. "
13,ISBN 0-9746226-0-5,"One day as he was walking, He happened to overhear Two girls that were talking. He turned his curious ear. "
14,ISBN 0-9746226-0-5,"As their words he overheard, He felt his aid was required. Always attracted to the spoken word To the girls he inquired, "
15,ISBN 0-9746226-0-5,Why do you girls carry on In such a vociferous way? To you my attention is drawn Upon this beautiful day!!! 
16,ISBN 0-9746226-0-5,"And to him the him girls inquired, Where does the sun go at night? He knew an answer was required. But he knew not what was right. "
17,ISBN 0-9746226-0-5,"Where it goes, he could not say As he covertly looked about. Being a master of delay, He calmly searched for an out. "
18,ISBN 0-9746226-0-5,"A man was passing by And overheard this conversation. He thought he could supply, A goodly explanation. _________________________________________________________________ "
19,ISBN 0-9746226-0-5,Details of this man are unknown For he lived a life withdrawn. He prefers to be quiet and alone. A common life he has forgone. 
20,ISBN 0-9746226-0-5,"You see, he was not like you and me. His methods were strange and new. A different world his eyes would see. A world in which others would have no clue. "
