,Poem Title,Stanza
0,,Produced by Jason Isbell and the Online Distributed Proofreading Team at https://www.pgdp.net 
1,,[Transcriber's Note: This book relies on the illustrations to be fully understood. Use the fully illustrated HTML version to get the full meaning from this lovely book.] 
2,,[Illustration] 
3,,Gobolinks or Shadow-Pictures For Young and Old 
4,,BY                 And Ruth McEnery       Albert Bigelow Stuart               Paine 
5,,[Illustration] 
6,,New York The Century Co. 1896 
7,,"Copyright, 1896, by The Century Co. "
8,DEDICATION,DEDICATION 
9,DEDICATION,[Illustration] 
10,TO OLD FRIENDS WITH YOUNG HEARTS AND YOUNG HEARTS GROWING OLD.,TO OLD FRIENDS WITH YOUNG HEARTS AND YOUNG HEARTS GROWING OLD. 
11,TO OLD FRIENDS WITH YOUNG HEARTS AND YOUNG HEARTS GROWING OLD.,"Dear Friends of our youth, should you happen to look At the curious things in this curious book, And should you, with quizzical countenance, ask The how and the why of our curious task-- We could truly reply To the query of ""why--"" To the smile on your lip, and your questioning eye, That the work was begun In a spirit of fun, To amuse when the work of the daylight was done; And continued, because we believed it would be Amusement to such as were weary as we To drift for awhile among goblins and elves, Or haply make shadows and rhymes for themselves. For though years have passed since we drifted apart, We're all of us more or less children at heart. And maybe yourselves and the youngsters 't will please To dwell for an hour with such creatures as these. "
12,TO OLD FRIENDS WITH YOUNG HEARTS AND YOUNG HEARTS GROWING OLD.,[Illustration] 
13,TO OLD FRIENDS WITH YOUNG HEARTS AND YOUNG HEARTS GROWING OLD.,[Illustration] 
14,TO OLD FRIENDS WITH YOUNG HEARTS AND YOUNG HEARTS GROWING OLD.,"Now, some one has said, in a moment of spleen, We cannot make pictures of what we've not seen; But such an assertion deserves only scorn, For the shape of the Gobolink never was born. He comes like the marvelous mimes of our dreams, When one has been supping on salads and creams, And curious changes of vision take place-- The horse may appear with an elephant face-- The goat with a cane, and the goose with a hat-- Six legs on the dog, and two tails on the cat; We never can tell, though we're sorely perplexed, What shape will be shown us, or what will come next; And these are the things that our Gobolinks do-- Dear friends, and dear children, we give them to you. "
15,TO OLD FRIENDS WITH YOUNG HEARTS AND YOUNG HEARTS GROWING OLD.,[Illustration] 
16,THE GOBOLINK AND HOW TO MAKE HIM.,THE GOBOLINK AND HOW TO MAKE HIM. 
17,THE GOBOLINK AND HOW TO MAKE HIM.,[Illustration] 
18,THE GOBOLINK AND HOW TO MAKE HIM.,Drop a little ink on a sheet of white paper. Fold the sheet in the center and press the ink-spots together with the fingers. All of the pictures in this book were made in this manner----none of them having been touched with a pen or brush. 
19,THE GOBOLINK AND HOW TO MAKE HIM.,"A great deal of practice will only go to show that the Gobolink, as his name implies, is a veritable goblin of the ink-bottle, and the way he eludes the artist's design proves him a self-made eccentric creature of a superior imagination. "
20,THE GOBOLINK AND HOW TO MAKE HIM.,"It is hardly to be expected that the animals and birds of prey referred to under more or less familiar names in the accompanying rhymes will be strikingly correct as to anatomy; and because, as upon page 15, the elephants, or whatever they may be, happen to have each a row of interesting tails continuing along the full length of the spinal column, no unkind criticism should be made upon the ability of the overworked and conscientious artists, who would have made fewer tails if they could, and have added nothing to the price of the book on account of undue liberality in the matter of caudal appendages. "
21,THE GOBOLINK AND HOW TO MAKE HIM.,[Illustration] 
22,THE GOBOLINK AND HOW TO MAKE HIM.,"In fact the most unexpected and startling results will often occur--results grotesquely and strangely beautiful, well worthy of preservation. The authors of this book will be glad to receive a few examples of some of the more unusual Gobolinks or Shadow-Pictures that may occur to those interested in the amusement. They may be sent care of The Century Co. "
23,THE GAME OF GOBOLINK.,THE GAME OF GOBOLINK. 
24,THE GAME OF GOBOLINK.,"Persons of all ages may obtain amusement out of Gobolinks, or Shadow-Pictures, as they are also called. "
25,THE GAME OF GOBOLINK.,[Illustration] 
26,THE GAME OF GOBOLINK.,The following is a very good method for playing the game: 
27,THE GAME OF GOBOLINK.,"Let three of the company be selected by the hostess as judges. To each of the others she then distributes from five to ten sheets of paper, from which they must produce at least one completed picture and rhyme in a given length of time, say five minutes, at the end of which the hostess rings a bell and the judges proceed at once to take up the pictures. These are then passed upon by them while the hostess is distributing a fresh round of paper, and the best two and the worst one are laid aside. "
28,THE GAME OF GOBOLINK.,"Those whose pictures have been selected now act as judges, surrendering their places at the tables to their predecessors, and another lot of pictures and rhymes are made. "
29,THE GAME OF GOBOLINK.,"The game is continued in this manner until the hostess announces the arrival of the time for final judgment, or until a certain hour specified in the beginning. "
30,THE GAME OF GOBOLINK.,[Illustration] 
31,THE GAME OF GOBOLINK.,"The three judges then in office now select one of the company as ""reader,"" and such person selected shall take up his position in strong light, and after reading the verses on each picture shall display it in full view of all present. It should then be pinned to a suspended sheet or screen where it may be easily examined by the company. "
32,THE GAME OF GOBOLINK.,"This shall be continued until all the pictures selected by the judges have been so treated and displayed. The reader then acts as chairman, and the company proceed to vote on them for first, second, and booby prizes. "
33,THE GAME OF GOBOLINK.,"The Gobolink receiving second largest number of votes for first prize is awarded second. The ballot for booby should be, of course, taken separately. Pictures should be signed or otherwise identified. "
34,THE GAME OF GOBOLINK.,[Illustration] 
35,THE GAME OF GOBOLINK.,"Where a number are making the pictures, it is well to seat them around a large table with the ink-supply in the center. "
36,THE GAME OF GOBOLINK.,"Jet-black ink should be used, and a good quality of unglazed paper. The ink should not be too thin. "
37,THE GAME OF GOBOLINK.,The table should be protected from accident with several thicknesses of newspaper. 
38,THE GAME OF GOBOLINK.,A filled pen or tincture-dropper may be used for supplying the ink. 
39,THE GAME OF GOBOLINK.,"For a specially invited Gobolink party the company may dress in any grotesque fashion, remembering only that both sides of their costume shall be the same, this being a feature peculiar to Gobolink attire. "
40,THE GAME OF GOBOLINK.,No game could be more productive of amusement than Gobolink. 
41,THE GAME OF GOBOLINK.,[Illustration] 
42,CONTENTS.,CONTENTS. 
43,PAGE,"PAGE Drum-Major                 1 Somethings                 2 Bubblers                   3 Jack-o-my-Goblin           3 Friendly Chickens          4 Unfriendly Chickens        5 They Stayed at Home        5 The Butterfly              6 Dipsey Doodle              7 His Relative               7 Striking Resemblance       8 Mask                       9 Human Nature               9 Red Riding-Hood's Wolf    10 Witch Broth               11 Just Like Other Children  12 Sea Dance                 13 Singers                   13 Birds on the Wire         14 A Hard Question           15 Moon Dance                16 Prehistoric Animals       17 Graceful Polly-Wogs       18 South-Sea Idol            19 Preparing for Winter      20 Bathers                   21 Bad Boy                   21 Brotherly Consolation     22 Butterfly Man             23 Transferred Smile         24 Royal Grotto              25 Modest Miss Kangaroo      25 Gargoyle                  26 Elf Party                 27 Unpleasant Companions     28 Grenadier                 28 Kings' Jesters            29 Funny Octopus             30 Nymphs and Ostriches      31 A Convenience             32 Fox and Geese             33 Entomology                33 Tail of Taddy Pole        34 Arabesque                 35 Wind Maidens              36 Gobolinks' Mirror         36 Pugilists                 37 What They Left            38 Gobolink Horses           39 Miss De Lisle             40 Her Curling-Tongs         41 Bears and Harlequins      42 Faithful Notes            43 Polite Colly-Wobbles      43 Brave Warriors            44 Steeple Men               45 Sheet-and-Pillow Party    45 Moss-Backs                46 What-is-it                47 Merry Water-Weedles       48 Narrow Escape             49 Vicious Golly-Pops        50 Captives                  50 Divers                    51 Shadow-Harp               52 Glad Return               53 Grotesques                54 Crests                    55 Frontier Coat-of-Arms     56 Fanciful Elk              56 T' other and Which        57 Cathodes              58, 59 In the X-Ray              60 Beetleville Dance         61 Queen Beetle              62 King Beetle               63 Other Beetles             63 Our Pet                   64 Good Breeding             64 The Washerwomen           65 A Marine Ball             66 Queer Mollusks            67 Sea Weeds             68, 72 Finis                     73 "
44,PAGE,Gobolinks 
45,THE DRUM MAJOR,THE DRUM MAJOR 
46,THE DRUM MAJOR,[Illustration] 
47,THE DRUM MAJOR,"A jolly little major of the drum, Behind him all the shadow people come, As he bravely leads the way For the Gobolink array With a bearing most important, and his uniform so gay; Oh, it's very plain to see that he's the hero of the day, This jolly little major of the drum. "
48,THE SOMETHINGS,THE SOMETHINGS 
49,THE SOMETHINGS,[Illustration] 
50,THE SOMETHINGS,"A Something met a Something In the mists of Shadowland. They ran against each other, And came quickly to a stand. "
51,THE SOMETHINGS,"""And who are you?"" said Something One. And Something Two, said he, ""That's just the very question that At once occurred to me."" "
52,THE BUBBLERS,THE BUBBLERS 
53,THE BUBBLERS,[Illustration] 
54,THE BUBBLERS,"These boys have just returned from school, And now forget their troubles-- They both are sitting on a stool, And blowing crooked bubbles. "
55,THE JACK-O-MY-GOBLIN,THE JACK-O-MY-GOBLIN 
56,THE JACK-O-MY-GOBLIN,[Illustration] 
57,THE JACK-O-MY-GOBLIN,"A terrible creature of Ink-bottle Land, A Jack-o-my-goblin is he. The sea-urchins made him to place on the sand, And frighten the monsters that dwell on the land. They took a sea-pumpkin and carved it by hand, And lighted it up in their glee With a phosphorus fish from the sea; Now all the day long on the shore doth he stand, While Land-loodles terrified flee, Oh, yes, The terrified Land-loodles flee. "
58,THE FRIENDLY CHICKENS,THE FRIENDLY CHICKENS 
59,THE FRIENDLY CHICKENS,[Illustration] 
60,THE FRIENDLY CHICKENS,"These chicks have been out in all weathers, They have little to show but pin-feathers; But their friendship is strong, And they sing us a song Regardless of wherefores or whethers. "
61,THEY STAYED AT HOME,THEY STAYED AT HOME 
62,THEY STAYED AT HOME,[Illustration] 
63,THEY STAYED AT HOME,"These chickens long debated On a costume for a ball, And became so much elated That they didn't go at all. "
64,THE UNFRIENDLY CHICKENS,THE UNFRIENDLY CHICKENS 
65,THE UNFRIENDLY CHICKENS,[Illustration] 
66,THE UNFRIENDLY CHICKENS,"The saucy chicks which here you see Know neither wrong nor right-- They can't be good like you and me, Who sometimes really do agree-- So all day long they fight. "
67,THE BUTTERFLY,THE BUTTERFLY 
68,THE BUTTERFLY,[Illustration] 
69,THE BUTTERFLY,How gaily flits the Butterfly Across the seas of clover. How blue the arching summer sky That hangs the country over. 
70,THE BUTTERFLY,"On wings of purple, brown, and gold He drifts across the meadow. His harmless flight you may behold From Yucatan to Yeddo. "
71,DIPSEY DOODLE..,DIPSEY DOODLE.. 
72,DIPSEY DOODLE..,[Illustration] 
73,DIPSEY DOODLE..,"This is little Dipsey Doodle, Sometimes called the great Kioodle. "
74,HIS RELATIVE,HIS RELATIVE 
75,HIS RELATIVE,[Illustration] 
76,HIS RELATIVE,This is Dipsey Doodle's brother-- They have ears like one another. 
77,A STRIKING RESEMBLANCE,A STRIKING RESEMBLANCE 
78,A STRIKING RESEMBLANCE,[Illustration] 
