,Poem Title,Stanza
0,,Produced by Sonya Schermann and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by The Internet Archive) 
1,,Transcriber's Note: 
2,,Italics are indicated by _underscores_. 
3,SONNETS FROM HAFEZ,SONNETS FROM HAFEZ 
4,SONNETS FROM HAFEZ,& other verses 
5,BY,BY 
6,ELIZABETH BRIDGES,ELIZABETH BRIDGES 
7,OXFORD UNIVERSITY PRESS,HUMPHREY MILFORD OXFORD UNIVERSITY PRESS 
8,BOMBAY    CALCUTTA    MADRAS    SHANGHAI    PEKING,LONDON    EDINBURGH    GLASGOW    COPENHAGEN NEW YORK    TORONTO    MELBOURNE    CAPE TOWN BOMBAY    CALCUTTA    MADRAS    SHANGHAI    PEKING 1921 
9,BY FREDERICK HALL,PRINTED IN ENGLAND AT THE OXFORD UNIVERSITY PRESS BY FREDERICK HALL 
10,NOTE,NOTE 
11,NOTE,"THE last fifteen pieces in this book, which are founded on odes of Hafez, are not translations. Their aim is rather to convey if possible something of the original spirit than to give a faithful rendering of either thought or form; & I have not scrupled to omit, insert, alter or even deliberately to pervert the idea as fancy or feeling dictated. Some of the poems follow the Persian fairly closely (especially nos. 30, 31, 34, & 35); others are merely founded on or suggested by one or two couplets. "
12,NOTE,No. 4 was suggested by a Persian dialect quatrain by Baba Tahir. 
13,NOTE,The remainder are original. 
14,E. B.,E. B. 
15,"CHILSWELL,","CHILSWELL, _Sept. 1920_. "
16,A. A. D.,TO A. A. D. 
17,A. A. D.,1 
18,A. A. D.,"When sunlight faileth, & day’s glow is gone; When chill mist traileth Where warm splendour shone; "
19,A. A. D.,"When summer’s pleasure Dieth,—dieth too The transient treasure That with life up-grew "
20,A. A. D.,"& none may herit, Where then wilt thou turn, O vagrant spirit, That no home didst earn; "
21,A. A. D.,"When none replieth Of thy friends so true, When sweet Joy crieth ‘Adieu, love, adieu!’ "
22,A. A. D.,2 
23,A. A. D.,"I called to fading day As o’er the hill she flew, ‘Whither, glad light, away? Take me, O take me too!’ She said, ‘O wingless one, Thou hast thy memoried sun’. "
24,A. A. D.,"I said to the droop’d rose Awhile that was so fair, ‘Why dost so swiftly lose, Sweet grace, thy blooming air?’ She said, ‘This is my doom; Cherish thou beauty’s tomb’. "
25,A. A. D.,"I cried to Joy as late I stood, bidding farewell, ‘Must this be too thy fate Whom I have loved so well? He said, ‘My gift I leave With her whom I bereave’. "
26,A. A. D.,3 
27,A. A. D.,"O youth’s young cloudlet, O freshness free, With heart so light on the winds to fly Or glisten in spray up-scatter’d,—I Am sad as the full surgings of the sea; I gave thee birth, thou shalt return to me. "
28,A. A. D.,"Thy heart is light as the empty wind Of barren purposeless change,—but I Am the thought-burden’d slow-searching mind: I am the agony to form & find;— The fluxing travail of eternity. "
29,A. A. D.,4 
30,A. A. D.,"Wend I, wander I, past all worlds that be; Ever have I wander’d or e’er the earth was made; Urg’d like the álien áir o’er land & sea, Sleepless as sunlight, joyless as its shade. "
31,A. A. D.,"Not on your earth travel I; sáy not to mé ‘Cease awhile thy wandering, Ó tir’d day!’ Say not, ‘O pilgrim, rest thee; comfort thee’: Not hére is my journey’s end, Indus nor Cathay. "
32,A. A. D.,5 
33,ON A HILL,ON A HILL 
34,ON A HILL,"Eyes that o’er the landscape fly, Over dale & wood & stream To the cloud-realms of the sky; "
35,ON A HILL,"Eyes that wander still & dream, Hopes that ever forward press Seeking lovelier loveliness; "
36,ON A HILL,All the world is yours to roam —Searching eye & swiftling thought— Nowhere can ye make your home; 
37,ON A HILL,"Not where peace so vainly sought Bower’d in the valley lies, Nor content’s small villages; "
38,ON A HILL,Nor can pleasure’s garish dress Tempt you to a mean caress —Thoughts that will not rest nor stay— 
39,ON A HILL,"Ever do ye tell her nay; Still ye wander—‘Where, O say, Lies our vision’d loveliness?’ "
40,ON A HILL,6 
41,AFTER MUSIC,AFTER MUSIC 
42,AFTER MUSIC,"O what availeth thee thy melting mood, Thine ecstasy When once again thy thralldoms o’er thee brood: "
43,AFTER MUSIC,"& what doth profit thee thy courage high, & strength so fain; So soon agen thy coward heart shall fly? "
44,AFTER MUSIC,"For more & stronger strife our strength shall strain, Though hope’s best good Be but this hope: to strive, & strive again. "
45,AFTER MUSIC,7 
46,AFTER MUSIC,"All things born to break In meek sacrifice For another’s sake, "
47,AFTER MUSIC,"All man’s striving vain, Lavish’d as the price Of the heart’s hid pain— "
48,AFTER MUSIC,"Long, O spirit-bird, Of thy lonely fear Hast thou sung unheard "
49,AFTER MUSIC,"In hope’s moon-lit wood, While no creature near Knew nor understood. "
50,AFTER MUSIC,8 
51,AFTER MUSIC,If there be any power in passion’s prayer— But no: such ultimate longings have no word: There is no eloquence in last despair. 
52,AFTER MUSIC,"Many have voiced their pain & answer heard; Though ’twere but this, that to give bodied form To grief, call’d their own heart to combat it: But not ev’n thus can I pray;—thou strong storm, All-overpowering, baffling bravest wit, Wild spirit spurning cage of time or name, Furious intangible fire, no duteous thought Can deal with thee, to no calm altar-flame Confine, nor wish acceptable,—O if aught "
53,AFTER MUSIC,"From such dumb need can reach aught’s hearing ear, This is it now, O hear, O hear, O hear! "
54,AFTER MUSIC,9 
55,AFTER MUSIC,"In love’s great ocean, whose calm-shelter’d shore Must he for ever leave, whose soul is bound On farthest quest, life’s wonders to explore— "
56,AFTER MUSIC,"That mightiest flood, all-whelming, torment-toss’d, Wherein must ev’ry lover’s self be lost Ere the Belovéd’s lovelier self be found— "
57,AFTER MUSIC,"Think not, O searcher, in that sea to find Food for thine earth-born strength & lustful show, Nor glorious pearl to deck thy worldly mind, "
58,AFTER MUSIC,"Nor isle of ease; all such doth he forego Who, recking nought of hurt to pride or limb, Heark’neth to love’s unchallengeable call: "
59,AFTER MUSIC,"Yea, who would venture, no help is for him Save whole surrender; health, strength, life & all. "
60,AFTER MUSIC,10 
61,AFTER MUSIC,"When sorrow hath outsoar’d our nature’s clime, Leaving it far remote &, like a strong Eagle lone brooding on her peak sublime, Graspeth in solitude her towering wrong; "
62,AFTER MUSIC,"& no more hankereth for petty prey Nor bleeding victim wherewithal to still Her hunger of desolate passion, but thus aye Sitteth, devour’d by her own vital ill, "
63,AFTER MUSIC,"Motionless, nerveless, where for her no sound Of life is, only the wind’s alien Moan that meandereth sleeplessly around The promontory,—what saviour can then "
64,AFTER MUSIC,"Help helpless sorrow? What shall break that spell Of icy death in life, that shackling Hell? "
65,AFTER MUSIC,11 
66,AFTER MUSIC,"O gentle weariness, Thine is the power that can all spirits free From bonding-trouble, thou art a goddess To all the suffering slaves of misery. "
67,AFTER MUSIC,"Thy sanctuary No suppliant vainly seeketh; wheresoe’er Desperate grief is, then unfailingly Is thine all-hallowing rest & refuge there. "
68,AFTER MUSIC,"Our sorrow hath outgrown Solace, yet still in thine all-mothering hand Is balm of soft oblivion, who alone Our never-ending needs dost understand. "
69,AFTER MUSIC,12 
