,Poem Title,line
0,,
1,,
2,,
3,,
4,A LOVER'S COMPLAINT,A LOVER'S COMPLAINT
5,A LOVER'S COMPLAINT,
6,A LOVER'S COMPLAINT,by William Shakespeare
7,A LOVER'S COMPLAINT,
8,A LOVER'S COMPLAINT,
9,A LOVER'S COMPLAINT,
10,A LOVER'S COMPLAINT,
11,A LOVER'S COMPLAINT,From off a hill whose concave womb reworded
12,A LOVER'S COMPLAINT,"A plaintful story from a sist'ring vale,"
13,A LOVER'S COMPLAINT,"My spirits t'attend this double voice accorded,"
14,A LOVER'S COMPLAINT,"And down I laid to list the sad-tuned tale,"
15,A LOVER'S COMPLAINT,"Ere long espied a fickle maid full pale,"
16,A LOVER'S COMPLAINT,"Tearing of papers, breaking rings atwain,"
17,A LOVER'S COMPLAINT,Storming her world with sorrow's wind and rain.
18,A LOVER'S COMPLAINT,
19,A LOVER'S COMPLAINT,"Upon her head a platted hive of straw,"
20,A LOVER'S COMPLAINT,"Which fortified her visage from the sun,"
21,A LOVER'S COMPLAINT,Whereon the thought might think sometime it saw
22,A LOVER'S COMPLAINT,The carcase of a beauty spent and done.
23,A LOVER'S COMPLAINT,"Time had not scythed all that youth begun,"
24,A LOVER'S COMPLAINT,"Nor youth all quit, but spite of heaven's fell rage"
25,A LOVER'S COMPLAINT,Some beauty peeped through lattice of seared age.
26,A LOVER'S COMPLAINT,
27,A LOVER'S COMPLAINT,"Oft did she heave her napkin to her eyne,"
28,A LOVER'S COMPLAINT,"Which on it had conceited characters,"
29,A LOVER'S COMPLAINT,Laund'ring the silken figures in the brine
30,A LOVER'S COMPLAINT,"That seasoned woe had pelleted in tears,"
31,A LOVER'S COMPLAINT,And often reading what contents it bears;
32,A LOVER'S COMPLAINT,"As often shrieking undistinguished woe,"
33,A LOVER'S COMPLAINT,"In clamours of all size, both high and low."
34,A LOVER'S COMPLAINT,
35,A LOVER'S COMPLAINT,"Sometimes her levelled eyes their carriage ride,"
36,A LOVER'S COMPLAINT,As they did batt'ry to the spheres intend;
37,A LOVER'S COMPLAINT,Sometime diverted their poor balls are tied
38,A LOVER'S COMPLAINT,To th' orbed earth; sometimes they do extend
39,A LOVER'S COMPLAINT,Their view right on; anon their gazes lend
40,A LOVER'S COMPLAINT,"To every place at once, and nowhere fixed,"
41,A LOVER'S COMPLAINT,The mind and sight distractedly commixed.
42,A LOVER'S COMPLAINT,
43,A LOVER'S COMPLAINT,"Her hair, nor loose nor tied in formal plat,"
44,A LOVER'S COMPLAINT,Proclaimed in her a careless hand of pride;
45,A LOVER'S COMPLAINT,"For some, untucked, descended her sheaved hat,"
46,A LOVER'S COMPLAINT,Hanging her pale and pined cheek beside;
47,A LOVER'S COMPLAINT,"Some in her threaden fillet still did bide,"
48,A LOVER'S COMPLAINT,"And, true to bondage, would not break from thence,"
