,Poem Title,line
147,CANTO I,"She fastens, and shall yet to many more,"
148,CANTO I,"Until that greyhound come, who shall destroy"
149,CANTO I,Her with sharp pain.  He will not life support
150,CANTO I,"By earth nor its base metals, but by love,"
151,CANTO I,"Wisdom, and virtue, and his land shall be"
152,CANTO I,The land 'twixt either Feltro.  In his might
153,CANTO I,"Shall safety to Italia's plains arise,"
154,CANTO I,"For whose fair realm, Camilla, virgin pure,"
155,CANTO I,"Nisus, Euryalus, and Turnus fell."
156,CANTO I,He with incessant chase through every town
157,CANTO I,"Shall worry, until he to hell at length"
158,CANTO I,"Restore her, thence by envy first let loose."
159,CANTO I,"I for thy profit pond'ring now devise,"
160,CANTO I,"That thou mayst follow me, and I thy guide"
161,CANTO I,"Will lead thee hence through an eternal space,"
162,CANTO I,"Where thou shalt hear despairing shrieks, and see"
163,CANTO I,"Spirits of old tormented, who invoke"
164,CANTO I,"A second death; and those next view, who dwell"
165,CANTO I,"Content in fire, for that they hope to come,"
166,CANTO I,"Whene'er the time may be, among the blest,"
167,CANTO I,Into whose regions if thou then desire
168,CANTO I,"T' ascend, a spirit worthier then I"
169,CANTO I,"Must lead thee, in whose charge, when I depart,"
170,CANTO I,"Thou shalt be left: for that Almighty King,"
171,CANTO I,"Who reigns above, a rebel to his law,"
172,CANTO I,"Adjudges me, and therefore hath decreed,"
173,CANTO I,That to his city none through me should come.
174,CANTO I,"He in all parts hath sway; there rules, there holds"
175,CANTO I,"His citadel and throne.  O happy those,"
176,CANTO I,"Whom there he chooses!""  I to him in few:"
177,CANTO I,"""Bard! by that God, whom thou didst not adore,"
178,CANTO I,I do beseech thee (that this ill and worse
179,CANTO I,"I may escape) to lead me, where thou saidst,"
180,CANTO I,"That I Saint Peter's gate may view, and those"
181,CANTO I,"Who as thou tell'st, are in such dismal plight."""
182,CANTO I,
183,CANTO I,"Onward he mov'd, I close his steps pursu'd."
184,CANTO I,
185,CANTO I,
186,CANTO I,
187,CANTO I,
188,CANTO II,CANTO II
189,CANTO II,
190,CANTO II,"NOW was the day departing, and the air,"
191,CANTO II,"Imbrown'd with shadows, from their toils releas'd"
192,CANTO II,All animals on earth; and I alone
193,CANTO II,"Prepar'd myself the conflict to sustain,"
194,CANTO II,"Both of sad pity, and that perilous road,"
195,CANTO II,Which my unerring memory shall retrace.
196,CANTO II,
197,CANTO II,O Muses!  O high genius! now vouchsafe
198,CANTO II,Your aid!  O mind! that all I saw hast kept
199,CANTO II,"Safe in a written record, here thy worth"
200,CANTO II,And eminent endowments come to proof.
201,CANTO II,
202,CANTO II,"I thus began: ""Bard! thou who art my guide,"
203,CANTO II,"Consider well, if virtue be in me"
204,CANTO II,"Sufficient, ere to this high enterprise"
205,CANTO II,"Thou trust me.  Thou hast told that Silvius' sire,"
206,CANTO II,"Yet cloth'd in corruptible flesh, among"
207,CANTO II,"Th' immortal tribes had entrance, and was there"
208,CANTO II,"Sensible present.  Yet if heaven's great Lord,"
209,CANTO II,"Almighty foe to ill, such favour shew'd,"
210,CANTO II,"In contemplation of the high effect,"
211,CANTO II,"Both what and who from him should issue forth,"
212,CANTO II,It seems in reason's judgment well deserv'd:
213,CANTO II,"Sith he of Rome, and of Rome's empire wide,"
214,CANTO II,In heaven's empyreal height was chosen sire:
215,CANTO II,"Both which, if truth be spoken, were ordain'd"
216,CANTO II,"And 'stablish'd for the holy place, where sits"
217,CANTO II,Who to great Peter's sacred chair succeeds.
218,CANTO II,"He from this journey, in thy song renown'd,"
219,CANTO II,"Learn'd things, that to his victory gave rise"
220,CANTO II,And to the papal robe.  In after-times
221,CANTO II,"The chosen vessel also travel'd there,"
222,CANTO II,"To bring us back assurance in that faith,"
223,CANTO II,Which is the entrance to salvation's way.
224,CANTO II,"But I, why should I there presume?  or who"
225,CANTO II,"Permits it?  not, Aeneas I nor Paul."
226,CANTO II,"Myself I deem not worthy, and none else"
227,CANTO II,"Will deem me.  I, if on this voyage then"
228,CANTO II,"I venture, fear it will in folly end."
229,CANTO II,"Thou, who art wise, better my meaning know'st,"
230,CANTO II,"Than I can speak.""  As one, who unresolves"
231,CANTO II,"What he hath late resolv'd, and with new thoughts"
232,CANTO II,"Changes his purpose, from his first intent"
233,CANTO II,"Remov'd; e'en such was I on that dun coast,"
234,CANTO II,"Wasting in thought my enterprise, at first"
235,CANTO II,"So eagerly embrac'd.  ""If right thy words"
236,CANTO II,"I scan,"" replied that shade magnanimous,"
237,CANTO II,"""Thy soul is by vile fear assail'd, which oft"
238,CANTO II,"So overcasts a man, that he recoils"
239,CANTO II,"From noblest resolution, like a beast"
240,CANTO II,At some false semblance in the twilight gloom.
241,CANTO II,"That from this terror thou mayst free thyself,"
242,CANTO II,"I will instruct thee why I came, and what"
243,CANTO II,"I heard in that same instant, when for thee"
244,CANTO II,"Grief touch'd me first.  I was among the tribe,"
245,CANTO II,"Who rest suspended, when a dame, so blest"
246,CANTO II,"And lovely, I besought her to command,"
247,CANTO II,Call'd me; her eyes were brighter than the star
248,CANTO II,Of day; and she with gentle voice and soft
249,CANTO II,Angelically tun'd her speech address'd:
250,CANTO II,"""O courteous shade of Mantua! thou whose fame"
251,CANTO II,"Yet lives, and shall live long as nature lasts!"
252,CANTO II,"A friend, not of my fortune but myself,"
253,CANTO II,On the wide desert in his road has met
254,CANTO II,"Hindrance so great, that he through fear has turn'd."
255,CANTO II,"Now much I dread lest he past help have stray'd,"
256,CANTO II,"And I be ris'n too late for his relief,"
257,CANTO II,"From what in heaven of him I heard.  Speed now,"
258,CANTO II,"And by thy eloquent persuasive tongue,"
259,CANTO II,"And by all means for his deliverance meet,"
260,CANTO II,Assist him.  So to me will comfort spring.
261,CANTO II,I who now bid thee on this errand forth
262,CANTO II,Am Beatrice; from a place I come
263,CANTO II,
264,CANTO II,"(Note: Beatrice.  I use this word, as it is"
265,CANTO II,"pronounced in the Italian, as consisting of four"
266,CANTO II,"syllables, of which the third is a long one.)"
267,CANTO II,
268,CANTO II,"Revisited with joy.  Love brought me thence,"
269,CANTO II,Who prompts my speech.  When in my Master's sight
270,CANTO II,"I stand, thy praise to him I oft will tell."""
271,CANTO II,
272,CANTO II,"She then was silent, and I thus began:"
273,CANTO II,"""O Lady! by whose influence alone,"
274,CANTO II,Mankind excels whatever is contain'd
275,CANTO II,"Within that heaven which hath the smallest orb,"
276,CANTO II,"So thy command delights me, that to obey,"
277,CANTO II,"If it were done already, would seem late."
278,CANTO II,No need hast thou farther to speak thy will;
279,CANTO II,"Yet tell the reason, why thou art not loth"
280,CANTO II,"To leave that ample space, where to return"
281,CANTO II,"Thou burnest, for this centre here beneath."""
282,CANTO II,
283,CANTO II,"She then: ""Since thou so deeply wouldst inquire,"
284,CANTO II,"I will instruct thee briefly, why no dread"
285,CANTO II,Hinders my entrance here.  Those things alone
286,CANTO II,"Are to be fear'd, whence evil may proceed,"
287,CANTO II,"None else, for none are terrible beside."
288,CANTO II,"I am so fram'd by God, thanks to his grace!"
289,CANTO II,That any suff'rance of your misery
290,CANTO II,"Touches me not, nor flame of that fierce fire"
291,CANTO II,Assails me.  In high heaven a blessed dame
292,CANTO II,"Besides, who mourns with such effectual grief"
293,CANTO II,"That hindrance, which I send thee to remove,"
294,CANTO II,"That God's stern judgment to her will inclines."""
295,CANTO II,"To Lucia calling, her she thus bespake:"
296,CANTO II,"""Now doth thy faithful servant need thy aid"
297,CANTO II,"And I commend him to thee.""  At her word"
298,CANTO II,"Sped Lucia, of all cruelty the foe,"
299,CANTO II,"And coming to the place, where I abode"
300,CANTO II,"Seated with Rachel, her of ancient days,"
301,CANTO II,"She thus address'd me: ""Thou true praise of God!"
302,CANTO II,Beatrice! why is not thy succour lent
303,CANTO II,"To him, who so much lov'd thee, as to leave"
304,CANTO II,For thy sake all the multitude admires?
305,CANTO II,"Dost thou not hear how pitiful his wail,"
306,CANTO II,"Nor mark the death, which in the torrent flood,"
307,CANTO II,"Swoln mightier than a sea, him struggling holds?"""
308,CANTO II,"""Ne'er among men did any with such speed"
309,CANTO II,"Haste to their profit, flee from their annoy,"
310,CANTO II,"As when these words were spoken, I came here,"
