,Poem Title,line
0,,
1,,
2,,
3,,
4,,Produced by David Widger
5,,
6,,
7,,
8,,
9,,
10,THE VISION,THE VISION
11,THE VISION,
12,OF,OF
13,OF,
14,"HELL, PURGATORY, AND PARADISE","HELL, PURGATORY, AND PARADISE"
15,"HELL, PURGATORY, AND PARADISE",
16,"HELL, PURGATORY, AND PARADISE",
17,OR THE INFERNO,OR THE INFERNO
18,OR THE INFERNO,
19,OR THE INFERNO,
20,BY,BY
21,BY,
22,DANTE ALIGHIERI,DANTE ALIGHIERI
23,DANTE ALIGHIERI,
24,DANTE ALIGHIERI,
25,DANTE ALIGHIERI,
26,TRANSLATED BY,TRANSLATED BY
27,TRANSLATED BY,
28,"THE REV. H. F. CARY, M.A.","THE REV. H. F. CARY, M.A."
29,"THE REV. H. F. CARY, M.A.",
30,"THE REV. H. F. CARY, M.A.",
31,"THE REV. H. F. CARY, M.A.",
32,HELL,HELL
33,HELL,
34,HELL,
35,HELL,Part 3
36,HELL,
37,HELL,
38,HELL,Cantos 5 - 6
39,HELL,
40,HELL,
41,HELL,
42,HELL,
43,CANTO V,CANTO V
44,CANTO V,
45,CANTO V,FROM the first circle I descended thus
46,CANTO V,"Down to the second, which, a lesser space"
47,CANTO V,"Embracing, so much more of grief contains"
48,CANTO V,"Provoking bitter moans.  There, Minos stands"
49,CANTO V,"Grinning with ghastly feature: he, of all"
50,CANTO V,"Who enter, strict examining the crimes,"
51,CANTO V,
52,CANTO V,"Gives sentence, and dismisses them beneath,"
53,CANTO V,According as he foldeth him around:
54,CANTO V,"For when before him comes th' ill fated soul,"
55,CANTO V,It all confesses; and that judge severe
56,CANTO V,"Of sins, considering what place in hell"
57,CANTO V,"Suits the transgression, with his tail so oft"
58,CANTO V,"Himself encircles, as degrees beneath"
59,CANTO V,He dooms it to descend.  Before him stand
60,CANTO V,Always a num'rous throng; and in his turn
61,CANTO V,"Each one to judgment passing, speaks, and hears"
62,CANTO V,"His fate, thence downward to his dwelling hurl'd."
63,CANTO V,
64,CANTO V,"""O thou! who to this residence of woe"
65,CANTO V,"Approachest?""  when he saw me coming, cried"
66,CANTO V,"Minos, relinquishing his dread employ,"
67,CANTO V,"""Look how thou enter here; beware in whom"
68,CANTO V,Thou place thy trust; let not the entrance broad
69,CANTO V,"Deceive thee to thy harm.""  To him my guide:"
70,CANTO V,"""Wherefore exclaimest?  Hinder not his way"
71,CANTO V,By destiny appointed; so 'tis will'd
72,CANTO V,"Where will and power are one.  Ask thou no more."""
73,CANTO V,
74,CANTO V,Now 'gin the rueful wailings to be heard.
75,CANTO V,Now am I come where many a plaining voice
76,CANTO V,Smites on mine ear.  Into a place I came
77,CANTO V,Where light was silent all.  Bellowing there groan'd
78,CANTO V,A noise as of a sea in tempest torn
79,CANTO V,By warring winds.  The stormy blast of hell
