,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
498,PG15781,El Estudiante de Salamanca and Other Selections,"Espronceda, José de",1808.0,1842.0,"['en', 'es']",93,'Poetry',Text,'Poetry'
517,PG16059,Modern Spanish Lyrics,,,,"['en', 'es']",536,"'Spanish language -- Textbooks for foreign speakers -- English', 'Spanish poetry'",Text,'Spanish poetry'
