,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
4144,PG63439,Romanceiro III: Romances Cavalherescos Antigos,"Almeida Garrett, João Batista da Silva Leitão de Almeida Garrett, Visconde de",1799.0,1854.0,['pt'],34,'Portuguese poetry -- 19th century',Text,'Portuguese poetry -- 19th century'
4247,PG65021,A Primavera,"Castilho, Antonio Feliciano de",1800.0,1875.0,['pt'],39,"'Portuguese poetry -- 19th century', 'Portuguese literature -- 19th century'",Text,'Portuguese poetry -- 19th century'
4492,PG68691,"Livro de ""Soror Saudade""","Espanca, Florbela",1894.0,1930.0,['pt'],41,'Portuguese poetry',Text,'Portuguese poetry'
4505,PG69103,Saudades de D. Ignez de Castro,"Meneses, Maria de Lara e",1610.0,1649.0,['pt'],26,"'Castro, Inês de, -1355 -- Poetry'",Text,-1355 -- Poetry'
4510,PG69209,Os jardins ou a arte de aformosear as paisagens: Poema,"Delille, Jacques",1738.0,1813.0,['pt'],41,"'Gardening -- Poetry', 'Gardens -- Poetry'",Text,'Gardening -- Poetry'
4511,PG69209,Os jardins ou a arte de aformosear as paisagens: Poema,"Delille, Jacques",1738.0,1813.0,['pt'],41,"'Gardening -- Poetry', 'Gardens -- Poetry'",Text,'Gardens -- Poetry'
4529,PG69423,O retrato de Venus e estudos de historia litterária,"Almeida Garrett, João Batista da Silva Leitão de Almeida Garrett, Visconde de",1799.0,1854.0,['pt'],53,"'Portuguese poetry -- History and criticism', 'Painting -- History'",Text,'Portuguese poetry -- History and criticism'
4605,PG70764,Parnaso portuguez moderno : $b precedido de um estudo da poesia moderna portugueza,,,,['pt'],171,"'Galician poetry', 'Brazilian poetry', 'Portuguese poetry'",Text,'Galician poetry'
4606,PG70764,Parnaso portuguez moderno : $b precedido de um estudo da poesia moderna portugueza,,,,['pt'],171,"'Galician poetry', 'Brazilian poetry', 'Portuguese poetry'",Text,'Brazilian poetry'
4607,PG70764,Parnaso portuguez moderno : $b precedido de um estudo da poesia moderna portugueza,,,,['pt'],171,"'Galician poetry', 'Brazilian poetry', 'Portuguese poetry'",Text,'Portuguese poetry'
4631,PG71330,Fábulas—folhas cahidas,"Almeida Garrett, João Batista da Silva Leitão de Almeida Garrett, Visconde de",1799.0,1854.0,['pt'],69,'Portuguese poetry -- 19th century',Text,'Portuguese poetry -- 19th century'
4656,PG71724,Obras poeticas de Gregorio de Mattos Guerra - Tomo I : $b precedidas de vida do poeta pelo licenceado Manuel Pereira Rebello,"Matos, Gregório de",1636.0,,['pt'],41,'Brazilian poetry',Text,'Brazilian poetry'
4745,PG7384,Carta da Companhia de Jesus para o seráfico São Francisco,"Anchieta, José de",1534.0,1597.0,['pt'],40,'Poetry',Text,'Poetry'
4840,PG8698,O Livro de Cesario Verde,"Verde, Cesário",1855.0,1886.0,['pt'],33,'Portuguese poetry',Text,'Portuguese poetry'
