,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
4130,PG63252,Kynäelmiä II: Runosommitelmia ja suorasanaisia kokeita,"Hemmo, Kaarlo",1858.0,1940.0,['fi'],17,"'Finnish poetry -- 19th century', 'Finnish literature'",Text,'Finnish poetry -- 19th century'
4134,PG63324,Pulmusparvi,"Mustakallio, Jooseppi",1857.0,1923.0,['fi'],21,'Finnish poetry -- 19th century',Text,'Finnish poetry -- 19th century'
4142,PG63436,Pääskysen liverryksiä lapsille,"Krohn, Minna",1841.0,1917.0,['fi'],30,"""Children's poetry, Finnish"", ""Children's stories, Finnish""",Text,"""Children's poetry"
4163,PG63760,"Pohjolan puolukoita: Keräymä runoja, suomennoksia ja alkuperäisiä",Various,,,['fi'],16,"'Finnish poetry', 'Poetry -- Translations into Finnish'",Text,'Finnish poetry'
4164,PG63760,"Pohjolan puolukoita: Keräymä runoja, suomennoksia ja alkuperäisiä",Various,,,['fi'],16,"'Finnish poetry', 'Poetry -- Translations into Finnish'",Text,'Poetry -- Translations into Finnish'
4165,PG63774,Sanajalkoja: Vihkonen runoelmia,"Killinen, Kustaa",1849.0,1922.0,['fi'],20,'Finnish poetry -- 19th century',Text,'Finnish poetry -- 19th century'
4172,PG63829,Runovihkonen nuorisolle: Pieni valikoima alkuperäistä suomalaista runoutta,,,,['fi'],20,'Finnish poetry',Text,'Finnish poetry'
4189,PG64027,Runoja: Uusi sarja,"Nuormaa, Severi",1865.0,1924.0,['fi'],15,'Finnish poetry',Text,'Finnish poetry'
4214,PG64379,Meren maininkeja,Larin-Kyösti,1873.0,1948.0,['fi'],24,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4231,PG64713,Eri asein: Valikoima runoja,"Strindberg, August",1849.0,1912.0,['fi'],20,'Swedish poetry -- Translations into Finnish',Text,'Swedish poetry -- Translations into Finnish'
4264,PG65216,Lasten lauluja,"Hellén, Immi",1861.0,1937.0,['fi'],30,"""Children's poetry, Finnish"", 'Finnish poetry -- 19th century'",Text,"""Children's poetry"
4265,PG65216,Lasten lauluja,"Hellén, Immi",1861.0,1937.0,['fi'],30,"""Children's poetry, Finnish"", 'Finnish poetry -- 19th century'",Text,'Finnish poetry -- 19th century'
4295,PG65640,Maamieslauluja,"Eerola, Eero",1884.0,1939.0,['fi'],24,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4434,PG67956,Tschandalan vanki,"Pennanen, Ain'Elisabet",1881.0,1945.0,['fi'],16,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4474,PG68543,Parasken runot,Larin Paraske,1833.0,1904.0,['fi'],30,"'Folk poetry, Finnish'",Text,'Folk poetry
4488,PG68660,Metsän satuja ja muita runoja,"Pohjanpää, Lauri Henrik",1889.0,1962.0,['fi'],25,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4497,PG68734,Graalin malja: Runoja,"Pohjanpää, Lauri Henrik",1889.0,1962.0,['fi'],19,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4498,PG68736,Uusi kevät ja muita runoja,"Pohjanpää, Lauri Henrik",1889.0,1962.0,['fi'],20,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4556,PG69883,Aamutuuli: Runoja,"Kojo, Viljo",1891.0,1966.0,['fi'],28,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4558,PG69967,Kylä ja kaupunki : $b Laatukuvia,"Kojo, Viljo",1891.0,1966.0,['fi'],15,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4565,PG7000,Kalevala,,,,['fi'],587,'Finnish poetry',Text,'Finnish poetry'
4626,PG71211,Maan puoleen : $b Runoja,"Siljo, Juhani",1888.0,1918.0,['fi'],17,'Finnish poetry',Text,'Finnish poetry'
4642,PG71524,Kaunis Saksa : $b Sarja saksalaista lyriikkaa,,,,['fi'],18,'German poetry -- Translations into Finnish',Text,'German poetry -- Translations into Finnish'
4643,PG71582,Kansallisia lauluja,"Soini, Lauri",1875.0,1919.0,['fi'],20,'Finnish poetry',Text,'Finnish poetry'
4649,PG71648,Purjehtijat,"Kailas, Uuno",1901.0,1933.0,['fi'],25,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4653,PG71684,Silmästä silmään : $b Runoja,"Kailas, Uuno",1901.0,1933.0,['fi'],25,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4654,PG71697,Runoja,"Stenbäck, Lars",1811.0,1870.0,['fi'],19,'Swedish poetry -- Translations into Finnish',Text,'Swedish poetry -- Translations into Finnish'
4655,PG71720,Kevätsade : $b Valikoima ruotsalaista lyriikkaa,,,,['fi'],18,'Swedish poetry -- Translations into Finnish',Text,'Swedish poetry -- Translations into Finnish'
4657,PG71762,Kallio ja meri : $b ynnä muita runoja,"Vaara, Elina",1903.0,1980.0,['fi'],23,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4658,PG71763,Laulu Ihanista silmistä : $b Runoja,"Haavio, Martti",1899.0,1973.0,['fi'],23,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
