,Poem Title,line
0,,
1,,
2,,"E-text prepared by Chris Curnow, Christina, Joseph Cooper, and the Project"
3,,Gutenberg Online Distributed Proofreading Team (http://www.pgdp.net)
4,,
5,,
6,,
7,MAURINE AND OTHER POEMS,MAURINE AND OTHER POEMS
8,MAURINE AND OTHER POEMS,
9,MAURINE AND OTHER POEMS,by
10,MAURINE AND OTHER POEMS,
11,ELLA WHEELER WILCOX,ELLA WHEELER WILCOX
12,ELLA WHEELER WILCOX,
13,ELLA WHEELER WILCOX,
14,ELLA WHEELER WILCOX,
15,ELLA WHEELER WILCOX,
16,ELLA WHEELER WILCOX,
17,ELLA WHEELER WILCOX,
18,ELLA WHEELER WILCOX,
19,ELLA WHEELER WILCOX,W. B. Conkey Company
20,ELLA WHEELER WILCOX,Chicago
21,ELLA WHEELER WILCOX,
22,ELLA WHEELER WILCOX,"Copyright, 1888"
23,ELLA WHEELER WILCOX,by Ella Wheeler Wilcox
24,ELLA WHEELER WILCOX,
25,ELLA WHEELER WILCOX,
26,ELLA WHEELER WILCOX,
27,ELLA WHEELER WILCOX,
28,ELLA WHEELER WILCOX,"_I step across the mystic border-land,_"
29,ELLA WHEELER WILCOX,_And look upon the wonder-world of Art._
30,ELLA WHEELER WILCOX,"_How beautiful, how beautiful its hills!_"
31,ELLA WHEELER WILCOX,"_And all its valleys, how surpassing fair!_"
32,ELLA WHEELER WILCOX,
33,ELLA WHEELER WILCOX,_The winding paths that lead up to the heights_
34,ELLA WHEELER WILCOX,_Are polished by the footsteps of the great._
35,ELLA WHEELER WILCOX,_The mountain-peaks stand very near to God:_
36,ELLA WHEELER WILCOX,_The chosen few whose feet have trod thereon_
37,ELLA WHEELER WILCOX,"_Have talked with Him, and with the angels walked._"
38,ELLA WHEELER WILCOX,
39,ELLA WHEELER WILCOX,_Here are no sounds of discord--no profane_
40,ELLA WHEELER WILCOX,_Or senseless gossip of unworthy things--_
41,ELLA WHEELER WILCOX,_Only the songs of chisels and of pens._
42,ELLA WHEELER WILCOX,"_Of busy brushes, and ecstatic strains_"
43,ELLA WHEELER WILCOX,_Of souls surcharged with music most divine._
44,ELLA WHEELER WILCOX,"_Here is no idle sorrow, no poor grief_"
45,ELLA WHEELER WILCOX,_For any day or object left behind--_
46,ELLA WHEELER WILCOX,"_For time is counted precious, and herein_"
47,ELLA WHEELER WILCOX,_Is such complete abandonment of Self_
48,ELLA WHEELER WILCOX,"_That tears turn into rainbows, and enhance_"
49,ELLA WHEELER WILCOX,_The beauty of the land where all is fair._
50,ELLA WHEELER WILCOX,
51,ELLA WHEELER WILCOX,"_Awed and afraid, I cross the border-land._"
52,ELLA WHEELER WILCOX,"_Oh, who am I, that I dare enter here_"
53,ELLA WHEELER WILCOX,_Where the great artists of the world have trod--_
54,ELLA WHEELER WILCOX,_The genius-crowned aristocrats of Earth?_
