,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
3775,PG9563,"Mabel Martin, a Harvest Idyl; and other poems: Part 4 From Volume I of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],31,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3776,PG9564,"Among the Hills, and other poems: Part 5 From Volume I of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],9,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3777,PG9565,"Pennsylvania Pilgrim, and other poems: Part 6 From Volume I of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],14,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3778,PG9566,"Bay of Seven Islands, and other poems: Part 7 From Volume I of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],7,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3779,PG9567,"Narrative and Legendary Poems, Complete: Volume I of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],94,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3780,PG9568,"The Frost Spirit, and other poems: Part 1 From Volume II of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],10,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3781,PG9569,"Mountain Pictures, and other poems: Part 2 From Volume II of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],11,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3782,PG9570,Reminiscent Poems: Part 3 From Volume II of The Works of John Greenleaf Whittier,"Whittier, John Greenleaf",1807.0,1892.0,['en'],9,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3783,PG9571,"Snow Bound, and other poems: Part 4 From Volume II of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],22,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3784,PG9572,"Religious Poems, Part 1.: Part 5 From Volume II of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],12,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3785,PG9573,"Religious Poems, Part 2.: Part 6 From Volume II of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],20,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3786,PG9574,"Poems of Nature, Poems Subjective and Reminiscent and Religious Poems, Complete: Volume II of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],87,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3793,PG9581,Personal Poems I: Part 1 from Volume IV of The Works of John Greenleaf Whittier,"Whittier, John Greenleaf",1807.0,1892.0,['en'],17,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3794,PG9582,Personal Poems II: Part 2 from Volume IV of The Works of John Greenleaf Whittier,"Whittier, John Greenleaf",1807.0,1892.0,['en'],13,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3795,PG9583,Occasional Poems: Part 3 from Volume IV of The Works of John Greenleaf Whittier,"Whittier, John Greenleaf",1807.0,1892.0,['en'],11,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3796,PG9584,"The Tent on the Beach, and other poems: Part 4 from Volume IV of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],14,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3797,PG9585,"At Sundown, and other poems: Part 5 from Volume IV of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],33,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3798,PG9586,"Personal Poems, Complete: Volume IV of The Works of John Greenleaf Whittier","Whittier, John Greenleaf",1807.0,1892.0,['en'],40,'American poetry -- 19th century',Text,'American poetry -- 19th century'
3799,PG9600,"The Works of John Greenleaf Whittier, Complete","Whittier, John Greenleaf",1807.0,1892.0,['en'],219,"'American literature', 'American poetry -- 19th century'",Text,'American poetry -- 19th century'
