,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
3293,PG66362,Gloucestershire Friends: Poems From a German Prison Camp,"Harvey, F. W. (Frederick William)",1888.0,1957.0,['en'],24,"'World War, 1914-1918 -- Poetry', 'Gloucestershire (England) -- Poetry'",Text,1914-1918 -- Poetry'
3307,PG6666,"Hello, Boys!","Wilcox, Ella Wheeler",1850.0,1919.0,['en'],24,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
3360,PG67937,The Song of Tiadatha,"Rutter, Owen",1889.0,1944.0,['en'],18,"'World War, 1914-1918 -- Poetry', 'Longfellow, Henry Wadsworth, 1807-1882 -- Parodies, imitations, etc.'",Text,1914-1918 -- Poetry'
3450,PG69980,"Yanks : $b A.E.F. verse: originally published in ""The Stars and Stripes,"" the official newspaper of the American expeditionary forces",Various,,,['en'],24,"'World War, 1914-1918 -- Poetry', 'American poetry -- 20th century'",Text,1914-1918 -- Poetry'
3618,PG8138,War-time Silhouettes,"Hudson, Stephen",1868.0,1944.0,['en'],18,"'World War, 1914-1918 -- Poetry', 'War poetry, English'",Text,1914-1918 -- Poetry'
3640,PG8433,The Vagabond and Other Poems from Punch,"Lehmann, R. C. (Rudolf Chambers)",1856.0,1929.0,['en'],20,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
3717,PG8820,A Treasury of War Poetry: British and American Poems of the World War 1914-1917,,,,['en'],62,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
3724,PG8930,Counter-Attack and Other Poems,"Sassoon, Siegfried",1886.0,1967.0,['en'],36,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
3751,PG9388,The Red Flower: Poems Written in War Time,"Van Dyke, Henry",1852.0,1933.0,['en'],46,"'World War, 1914-1918 -- Poetry'",Text,1914-1918 -- Poetry'
3756,PG9426,Moments of Vision,"Hardy, Thomas",1840.0,1928.0,['en'],7,"'World War, 1914-1918 -- Poetry', 'English poetry'",Sound,1914-1918 -- Poetry'
