,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
3241,PG65524,Modern Street Ballads,,,,['en'],42,"'Ballads, English -- Texts', 'English poetry -- 19th century', 'Street literature -- Great Britain'",Text,'English poetry -- 19th century'
3264,PG66002,"An Epic of Women, and Other Poems","O'Shaughnessy, Arthur William Edgar",1844.0,1881.0,['en'],43,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3287,PG66301,Horæ Nauseæ,"Peel, Lawrence, Sir",1799.0,1884.0,['en'],32,"'Horace -- Translations into English', 'English poetry -- 19th century', 'Spanish poetry -- Translations into English'",Text,'English poetry -- 19th century'
3300,PG66520,Poems,"Johnson, Lionel",1867.0,1902.0,['en'],37,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3309,PG66689,Poems of Arthur Hugh Clough,"Clough, Arthur Hugh",1819.0,1861.0,['en'],83,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3311,PG66785,The Poems of Felicia Hemans,"Hemans, Mrs.",1793.0,1835.0,['en'],195,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3317,PG66946,Summer Morning: A poem,"Miller, Thomas",1807.0,1874.0,['en'],20,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3331,PG67069,"Apollo and Marsyas, and Other Poems","Lee-Hamilton, Eugene",1845.0,1907.0,['en'],29,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3380,PG68359,Poetry for children,"Lamb, Charles",1775.0,1834.0,['en'],81,"'English poetry -- 19th century', ""Children's poetry, English""",Text,'English poetry -- 19th century'
3388,PG68579,"A spray of lilac, and other poems and songs","Hedderwick-Browne, M. (Marie)",,,['en'],22,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3402,PG68715,Woman free,"Ethelmer, Ellis",,,['en'],32,"'Women -- History', 'Women -- Social conditions', 'English poetry -- 19th century', 'Women -- Suffrage'",Text,'English poetry -- 19th century'
3404,PG68824,"Lewesdon Hill, with other poems","Crowe, William",1745.0,1829.0,['en'],23,"'Landscapes -- England -- Dorset -- Poetry', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
3461,PG70189,The sensitive plant,"Shelley, Percy Bysshe",1792.0,1822.0,['en'],58,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3484,PG70588,"Richardson's New London fashionable gentleman's valentine writer, or, the lover's own book for this year : $b Containing a very choice selection of original and popular valentines, with appropriate answers","Richardson, Thomas",,1875.0,['en'],47,"'Love poetry, English', 'English poetry -- 19th century', 'Valentines', 'Courtship -- Poetry'",Text,'English poetry -- 19th century'
3491,PG70802,The story of Eros & Psyche (retold from Apuleius) : $b together with some early verses,"Carpenter, Edward",1844.0,1929.0,['en'],209,"'English poetry -- 19th century', 'Apuleius. Psyche et Cupido -- Adaptations'",Text,'English poetry -- 19th century'
3497,PG71008,The poems of Winthrop Mackworth Praed. [selected],"Praed, Winthrop Mackworth",1802.0,1839.0,['en'],52,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3605,PG791,The Princess,"Tennyson, Alfred Tennyson, Baron",1809.0,1892.0,['en'],658,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3632,PG8209,Poems 1817,"Keats, John",1795.0,1821.0,['en'],253,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3647,PG8601,The Early Poems of Alfred Lord Tennyson,"Tennyson, Alfred Tennyson, Baron",1809.0,1892.0,['en'],575,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3721,PG8905,"Lyrical Ballads, with Other Poems, 1800, Volume 1","Wordsworth, William",1770.0,1850.0,['en'],320,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3722,PG8912,"Lyrical Ballads with Other Poems, 1800, Volume 2","Wordsworth, William",1770.0,1850.0,['en'],98,'English poetry -- 19th century',Text,'English poetry -- 19th century'
3742,PG9323,Foliage: Various Poems,"Davies, W. H. (William Henry)",1871.0,1940.0,['en'],40,"'English poetry -- 20th century', 'English poetry -- 19th century'",Text,'English poetry -- 19th century'
