,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
886,PG22475,Tortoises,"Lawrence, D. H. (David Herbert)",1885.0,1930.0,['en'],93,'English poetry',Text,'English poetry'
951,PG2334,The Works of Rudyard Kipling: One Volume Edition,"Kipling, Rudyard",1865.0,1936.0,['en'],319,"'English fiction', 'English poetry', 'Short stories, English'",Text,'English poetry'
979,PG23475,The Works of Lord Byron. Vol. 5: Poetry,"Byron, George Gordon Byron, Baron",1788.0,1824.0,['en'],407,"'English drama', 'English poetry'",Text,'English poetry'
985,PG23545,Songs of Childhood,"De la Mare, Walter",1873.0,1956.0,['en'],158,"'English poetry', ""Children's poetry, English""",Text,'English poetry'
1003,PG23753,The Diverting History of John Gilpin,"Cowper, William",1731.0,1800.0,['en'],30,'English poetry',Text,'English poetry'
1006,PG23794,Mother Goose or the Old Nursery Rhymes,,,,['en'],276,"'Nursery rhymes', 'English poetry', ""Children's poetry, English""",Text,'English poetry'
1010,PG2381,Actions and reactions,"Kipling, Rudyard",1865.0,1936.0,['en'],115,"'English fiction -- 20th century', 'English poetry', 'Short stories, English'",Text,'English poetry'
1019,PG23897,The Owl and the Pussycat,"Lear, Edward",1812.0,1888.0,['en'],185,"""Children's poetry, English"", 'Animals -- Poetry', 'English poetry', 'Nonsense verses', 'Animals -- Juvenile poetry', 'Nonsense verses, English'",Sound,'English poetry'
1030,PG23935,Sonnet 23,"Shakespeare, William",1564.0,1616.0,['en'],55,"'English poetry', 'Sonnets, English'",Sound,'English poetry'
1036,PG23970,Sonnets,"Shakespeare, William",1564.0,1616.0,['en'],84,"'Shakespeare, William, 1564-1616. Sonnets', 'Love poetry', 'English poetry', 'Sonnets, English'",Sound,'English poetry'
1041,PG23975,Spirits in Bondage,"Lewis, C. S. (Clive Staples)",1898.0,1963.0,['en'],82,"'God -- Poetry', 'Cynicism -- Poetry', 'English poetry', 'Good and evil -- Poetry'",Sound,'English poetry'
