,Poem Title,line
148,THE BIRD’S ANSWER.,THE BIRD’S ANSWER.
149,THE BIRD’S ANSWER.,
150,THE BIRD’S ANSWER.,
151,THE BIRD’S ANSWER.,"“I am sorry, my dear,"
152,THE BIRD’S ANSWER.,But I’d rather live here;
153,THE BIRD’S ANSWER.,"The skies they are fair,"
154,THE BIRD’S ANSWER.,"And I love the fresh air,"
155,THE BIRD’S ANSWER.,"The trees they are green,"
156,THE BIRD’S ANSWER.,"And I sit like a queen,"
157,THE BIRD’S ANSWER.,"On a branch as it goes,"
158,THE BIRD’S ANSWER.,While the pleasant wind blows
159,THE BIRD’S ANSWER.,I have more on my table
160,THE BIRD’S ANSWER.,"To eat than I’m able,"
161,THE BIRD’S ANSWER.,For the very large field
162,THE BIRD’S ANSWER.,My dessert does yield;
163,THE BIRD’S ANSWER.,"But come from your book,"
164,THE BIRD’S ANSWER.,"With a good humored look,"
165,THE BIRD’S ANSWER.,When with care you have read
166,THE BIRD’S ANSWER.,"And your lesson is said,"
167,THE BIRD’S ANSWER.,"Sit under the tree,"
168,THE BIRD’S ANSWER.,"With your sewing by me,"
169,THE BIRD’S ANSWER.,"And this afternoon,"
170,THE BIRD’S ANSWER.,I will sing you a tune.”
171,THE BIRD’S ANSWER.,
172,THE BIRD’S ANSWER.,
173,THE BIRD’S ANSWER.,
174,THE BIRD’S ANSWER.,
175,THE KITE.,THE KITE.
176,THE KITE.,
177,THE KITE.,
178,THE KITE.,"Oh look at my kite,"
179,THE KITE.,"In its airy flight,"
180,THE KITE.,"How pretty it flies,"
181,THE KITE.,"Right up to the skies,"
182,THE KITE.,"With its white breast stirr’d,"
183,THE KITE.,Just like a bird!
184,THE KITE.,
185,THE KITE.,"Pretty kite, pretty kite,"
186,THE KITE.,In your airy flight
187,THE KITE.,"What do you spy,"
188,THE KITE.,In the bright blue sky?
189,THE KITE.,
190,THE KITE.,"I wish I was you,"
191,THE KITE.,"To be there too,"
192,THE KITE.,"Oh, then, how soon"
193,THE KITE.,"I would peep at the moon,"
194,THE KITE.,"And see the man there,"
195,THE KITE.,"Who gives me a stare,"
196,THE KITE.,"When I look up at night,"
197,THE KITE.,At his beautiful light!
198,THE KITE.,
199,THE KITE.,
200,THE KITE.,
201,THE KITE.,
202,OH! LOOK AT THE MOON.,OH! LOOK AT THE MOON.
203,OH! LOOK AT THE MOON.,
204,OH! LOOK AT THE MOON.,
205,OH! LOOK AT THE MOON.,"Oh, look at the moon!"
206,OH! LOOK AT THE MOON.,"She is shining up there,"
207,OH! LOOK AT THE MOON.,"Oh, mother, she looks"
208,OH! LOOK AT THE MOON.,Like a lamp in the air.
209,OH! LOOK AT THE MOON.,
210,OH! LOOK AT THE MOON.,"Last week she was smaller,"
211,OH! LOOK AT THE MOON.,"And shaped like a bow,"
212,OH! LOOK AT THE MOON.,"But now she’s grown bigger,"
213,OH! LOOK AT THE MOON.,And round as an O.
214,OH! LOOK AT THE MOON.,
215,OH! LOOK AT THE MOON.,"Pretty moon, pretty moon,"
216,OH! LOOK AT THE MOON.,"How you shine on the door,"
217,OH! LOOK AT THE MOON.,And make it all bright
218,OH! LOOK AT THE MOON.,On my nursery floor.
219,OH! LOOK AT THE MOON.,
220,OH! LOOK AT THE MOON.,"You shine on my playthings,"
221,OH! LOOK AT THE MOON.,"And show me their place,"
222,OH! LOOK AT THE MOON.,And I love to look up
223,OH! LOOK AT THE MOON.,At your pretty bright face
224,OH! LOOK AT THE MOON.,
225,OH! LOOK AT THE MOON.,And there is a star
226,OH! LOOK AT THE MOON.,"Close by you, and may be"
227,OH! LOOK AT THE MOON.,That small twinkling star
228,OH! LOOK AT THE MOON.,Is your little baby.
229,OH! LOOK AT THE MOON.,
230,OH! LOOK AT THE MOON.,
231,OH! LOOK AT THE MOON.,
232,OH! LOOK AT THE MOON.,
233,THE SLEEPING BABY.,THE SLEEPING BABY.
234,THE SLEEPING BABY.,
235,THE SLEEPING BABY.,
236,THE SLEEPING BABY.,"Hush, hush, with your noise,"
237,THE SLEEPING BABY.,"What a talking you keep,"
238,THE SLEEPING BABY.,"You rude little boys,"
239,THE SLEEPING BABY.,Now the baby’s asleep!
240,THE SLEEPING BABY.,"Hushaby, baby."
241,THE SLEEPING BABY.,
242,THE SLEEPING BABY.,Mamma has just told me
243,THE SLEEPING BABY.,"To stay quite here,"
244,THE SLEEPING BABY.,"And, oh, she will scold me,"
245,THE SLEEPING BABY.,"If wakes, baby dear."
246,THE SLEEPING BABY.,"Hushaby, baby."
247,THE SLEEPING BABY.,
248,THE SLEEPING BABY.,"How soft its white arm,"
249,THE SLEEPING BABY.,"As it lies on its breast,"
250,THE SLEEPING BABY.,Little baby no harm
251,THE SLEEPING BABY.,"Shall come while you rest,"
252,THE SLEEPING BABY.,"Hushaby, hush."
253,THE SLEEPING BABY.,
254,THE SLEEPING BABY.,"My task has been given,"
255,THE SLEEPING BABY.,"And I will be true,"
256,THE SLEEPING BABY.,And sister and Heaven
257,THE SLEEPING BABY.,Will watch over you.
258,THE SLEEPING BABY.,"Hushaby, baby."
259,THE SLEEPING BABY.,
260,THE SLEEPING BABY.,
261,THE SLEEPING BABY.,
262,THE SLEEPING BABY.,
263,SCHOOL IS OUT.,SCHOOL IS OUT.
264,SCHOOL IS OUT.,
265,SCHOOL IS OUT.,
266,SCHOOL IS OUT.,"School is out,"
267,SCHOOL IS OUT.,But do not shout;
268,SCHOOL IS OUT.,"School is done,"
269,SCHOOL IS OUT.,But do not run.
270,SCHOOL IS OUT.,
271,SCHOOL IS OUT.,"Put up your slate,"
272,SCHOOL IS OUT.,Neat and straight;
273,SCHOOL IS OUT.,"Make your bow,"
274,SCHOOL IS OUT.,If you know how.
275,SCHOOL IS OUT.,
276,SCHOOL IS OUT.,"Take your “_spelling_,”"
277,SCHOOL IS OUT.,"To your dwelling,"
278,SCHOOL IS OUT.,"Your “_reading_” too,"
279,SCHOOL IS OUT.,Keep clean and new.
280,SCHOOL IS OUT.,
281,SCHOOL IS OUT.,"Then go home,"
282,SCHOOL IS OUT.,And do not roam;
283,SCHOOL IS OUT.,"Your parents kiss,"
284,SCHOOL IS OUT.,In quietness.
285,SCHOOL IS OUT.,
286,SCHOOL IS OUT.,Now run and play;
287,SCHOOL IS OUT.,"And so, “good day.”"
288,SCHOOL IS OUT.,
289,SCHOOL IS OUT.,
290,SCHOOL IS OUT.,
291,SCHOOL IS OUT.,
292,TO AN ANT.,TO AN ANT.
293,TO AN ANT.,
294,TO AN ANT.,
295,TO AN ANT.,"Run here, little ant,"
296,TO AN ANT.,For the pretty bird can’t.
297,TO AN ANT.,"I want you to come,"
298,TO AN ANT.,And live at my home;
299,TO AN ANT.,"I know you will stay,"
300,TO AN ANT.,And help me to play.
301,TO AN ANT.,"Stop making that hill,"
302,TO AN ANT.,"Little ant, and be still;"
303,TO AN ANT.,"Come creep to my feet,"
304,TO AN ANT.,Here is sugar to eat.
305,TO AN ANT.,"Say are you not weary,"
306,TO AN ANT.,"My poor little deary,"
307,TO AN ANT.,"With bearing that load,"
308,TO AN ANT.,Across the wide road?
309,TO AN ANT.,"Leave your hill now, to me,"
310,TO AN ANT.,"And then you shall see,"
311,TO AN ANT.,"That by filling my hand,"
312,TO AN ANT.,"I can pile up the sand,"
313,TO AN ANT.,"And save you the pains,"
314,TO AN ANT.,Of bringing these grains.
315,TO AN ANT.,
316,TO AN ANT.,
317,TO AN ANT.,
318,TO AN ANT.,
319,THE ANT’S ANSWER.,THE ANT’S ANSWER.
320,THE ANT’S ANSWER.,
321,THE ANT’S ANSWER.,
322,THE ANT’S ANSWER.,"Stop, stop, little miss,"
323,THE ANT’S ANSWER.,"No such building as this,"
324,THE ANT’S ANSWER.,"Will answer for me,"
325,THE ANT’S ANSWER.,As you plainly can see.
326,THE ANT’S ANSWER.,"I take very great pains,"
327,THE ANT’S ANSWER.,And place all the grains
328,THE ANT’S ANSWER.,"As if with a tool,"
329,THE ANT’S ANSWER.,By a carpenter’s rule.
330,THE ANT’S ANSWER.,You have thrown the sand
331,THE ANT’S ANSWER.,"All out of your hand,"
332,THE ANT’S ANSWER.,"And so filled up my door,"
333,THE ANT’S ANSWER.,That I can’t find it more.
334,THE ANT’S ANSWER.,My king and my queen
335,THE ANT’S ANSWER.,Are choked up within;
336,THE ANT’S ANSWER.,"My little ones too,"
337,THE ANT’S ANSWER.,Oh what shall I do?
338,THE ANT’S ANSWER.,You have smothered them all
339,THE ANT’S ANSWER.,With the sand you let fall;
340,THE ANT’S ANSWER.,"I must borrow, or beg,"
341,THE ANT’S ANSWER.,"Or look for an egg,"
342,THE ANT’S ANSWER.,"To keep under my eye,"
343,THE ANT’S ANSWER.,For help by-and-by.
344,THE ANT’S ANSWER.,"A new house I must raise,"
345,THE ANT’S ANSWER.,"In a very few days,"
346,THE ANT’S ANSWER.,"Nor stand here and pine,"
347,THE ANT’S ANSWER.,Because you’ve spoilt mine.
348,THE ANT’S ANSWER.,"For when winter days come,"
349,THE ANT’S ANSWER.,I shall mourn for my home;
350,THE ANT’S ANSWER.,"So stand out of my way,"
351,THE ANT’S ANSWER.,I have no time to play.
352,THE ANT’S ANSWER.,
353,THE ANT’S ANSWER.,[Illustration]
354,THE ANT’S ANSWER.,
355,THE ANT’S ANSWER.,*       *       *       *       *
356,THE ANT’S ANSWER.,
357,"KIGGINS & KELLOGG,","KIGGINS & KELLOGG,"
358,"KIGGINS & KELLOGG,",
359,"KIGGINS & KELLOGG,","Publishers, Booksellers, & Stationers,"
360,"KIGGINS & KELLOGG,",
361,"KIGGINS & KELLOGG,",123 & 125 William St.
362,"KIGGINS & KELLOGG,",
363,"KIGGINS & KELLOGG,",Also Manufacturers of every description of
364,"KIGGINS & KELLOGG,",
365,"ACCOUNT BOOKS,","ACCOUNT BOOKS,"
366,"ACCOUNT BOOKS,",
367,"ACCOUNT BOOKS,","MEMORANDUMS and PASS BOOKS,"
368,"ACCOUNT BOOKS,",
369,"ACCOUNT BOOKS,",a large stock of which is constantly kept on hand. Their assortment of
370,"ACCOUNT BOOKS,",
371,SCHOOL,SCHOOL
372,SCHOOL,
373,AND,AND
374,AND,
375,"MISCELLANEOUS BOOKS,","MISCELLANEOUS BOOKS,"
