,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Chuck Greif, The Baldwin Library of Historical"
5,,Children\'s Literature in the Department of Special
6,,Collections at the University of Florida\'s George A.
7,,Smathers Libraries and the Online Distributed Proofreading
8,,Team at http://www.pgdp.net
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,[Illustration]
19,,
20,,[Illustration: JUMBO BROKEN LOOSE.]
21,,
22,,
23,,
24,,
25,MY,MY
26,MY,
27,TREASURE.,TREASURE.
28,TREASURE.,
29,TREASURE.,[Illustration]
30,TREASURE.,
31,EDITED BY,EDITED BY
32,EDITED BY,
33,"THOMAS W. HANDFORD,","THOMAS W. HANDFORD,"
34,"THOMAS W. HANDFORD,",
35,"(""ELMO."")","(""ELMO."")"
36,"(""ELMO."")",
37,CHICAGO AND NEW YORK.,CHICAGO AND NEW YORK.
38,CHICAGO AND NEW YORK.,
39,"BELFORD, CLARKE & CO.","BELFORD, CLARKE & CO."
40,"BELFORD, CLARKE & CO.",
41,"BELFORD, CLARKE & CO.",1888.
42,"BELFORD, CLARKE & CO.",
43,"COPYRIGHT,","COPYRIGHT,"
44,"COPYRIGHT,",
45,"BELFORD, CLARKE & CO.","BELFORD, CLARKE & CO."
46,"BELFORD, CLARKE & CO.",
47,"BELFORD, CLARKE & CO.",1887.
48,"BELFORD, CLARKE & CO.",
49,"BELFORD, CLARKE & CO.",
50,"BELFORD, CLARKE & CO.",
51,"BELFORD, CLARKE & CO.",
52,CONTENTS.,CONTENTS.
53,CONTENTS.,
54,CONTENTS.,
55,PAGE.,PAGE.
56,PAGE.,A Queer Play-House                                                  50
57,PAGE.,A Reckless Ride                                                      8
58,PAGE.,At the Shore                                                        82
59,PAGE.,Baby Ralph's Letter                                                 64
60,PAGE.,Bell and her Pet Dog                                                42
61,PAGE.,Belle and her Brothers                                              95
62,PAGE.,Betty and Polly                                                     33
63,PAGE.,Brave Hal                                                           80
64,PAGE.,"Dolly Knits, then Hides                                         70, 71"
65,PAGE.,Dot's New Friend                                                    78
66,PAGE.,Frankie Minds Mamma                                                 58
67,PAGE.,Going to Bed                                                        18
68,PAGE.,Going to Boston                                                     67
69,PAGE.,Hattie and the Butterfly                                            72
70,PAGE.,"Jane and Rob                                                    46, 47"
71,PAGE.,Little May's Pet                                                    36
72,PAGE.,Little Mother Hubbard                                               84
73,PAGE.,May and her Papa                                                    41
74,PAGE.,Meg and Little Bell                                                 32
75,PAGE.,Milk for Baby's Supper                                              30
76,PAGE.,Moll and Jane's Picnic                                              94
77,PAGE.,Mr. Fox is Sure                                                     68
78,PAGE.,New Eyes                                                            86
79,PAGE.,Old Charlie Runs                                                    90
80,PAGE.,Only a Bird                                                         54
81,PAGE.,Our Little Hand-Organ Man                                           66
82,PAGE.,"Playing at Soldiers                                             20, 21"
