,Poem Title,line
0,,
1,,
2,,"E-text prepared by Suzanne Shell, Emmy, and the Online Distributed"
3,,Proofreading Team (http://www.pgdp.net) from page images generously made
4,,available by Internet Archive/American Libraries
5,,(http://archive.org/details/americana)
6,,
7,,
8,,
9,,Note: Project Gutenberg also has an HTML version of this
10,,file which includes the original lovely illustrations.
11,,See 41945-h.htm or 41945-h.zip:
12,,(https://www.gutenberg.org/cache/epub/41945/pg41945-images.html)
13,,or
14,,(https://www.gutenberg.org/files/41945/41945-h.zip)
15,,
16,,
17,,Images of the original pages are available through
18,,Internet Archive/American Libraries. See
19,,http://archive.org/details/dreamblocks00higg
20,,
21,,
22,,
23,,
24,,
25,DREAM BLOCKS,DREAM BLOCKS
26,DREAM BLOCKS,
27,DREAM BLOCKS,by
28,DREAM BLOCKS,
29,AILEEN CLEVELAND HIGGINS,AILEEN CLEVELAND HIGGINS
30,AILEEN CLEVELAND HIGGINS,
31,AILEEN CLEVELAND HIGGINS,[Illustration]
32,AILEEN CLEVELAND HIGGINS,
33,AILEEN CLEVELAND HIGGINS,Pictures by Jessie Willcox Smith
34,AILEEN CLEVELAND HIGGINS,
35,AILEEN CLEVELAND HIGGINS,
36,AILEEN CLEVELAND HIGGINS,
37,AILEEN CLEVELAND HIGGINS,
38,AILEEN CLEVELAND HIGGINS,
39,AILEEN CLEVELAND HIGGINS,
40,AILEEN CLEVELAND HIGGINS,
41,AILEEN CLEVELAND HIGGINS,Duffield & Company
42,AILEEN CLEVELAND HIGGINS,New York
43,AILEEN CLEVELAND HIGGINS,
44,AILEEN CLEVELAND HIGGINS,
45,AILEEN CLEVELAND HIGGINS,
46,AILEEN CLEVELAND HIGGINS,
47,CONTENTS,CONTENTS
48,CONTENTS,
49,CONTENTS,
50,CONTENTS,Page
51,CONTENTS,Dream Blocks           1
52,CONTENTS,Stupid You             2
53,CONTENTS,Anagrams               3
54,CONTENTS,Doorsteps              4
55,CONTENTS,The Big Clock          6
56,CONTENTS,The New Dress          7
57,CONTENTS,A Questioning          9
58,CONTENTS,A Test                 9
59,CONTENTS,A Quandary            10
60,CONTENTS,Spring Music          11
61,CONTENTS,A Compromise          13
62,CONTENTS,A Rainy Day           14
63,CONTENTS,An Appeal to Science  15
64,CONTENTS,The Runaway           17
65,CONTENTS,Playmates             19
66,CONTENTS,The Echo              21
67,CONTENTS,The Sick Rose         22
68,CONTENTS,Afternoon             23
69,CONTENTS,The Wild              24
70,CONTENTS,Bud Music             25
71,CONTENTS,Frills                26
72,CONTENTS,Gone Somewhere        27
73,CONTENTS,The Chosen Dream      29
74,CONTENTS,Home                  30
75,CONTENTS,Dawn                  31
76,CONTENTS,The City Tree         32
77,CONTENTS,A Prayer              34
78,CONTENTS,Cap and Bells         35
79,CONTENTS,Summer's Passing      38
80,CONTENTS,When You Wait         39
