,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Larry B. Harrison, and the Archives and Special"
5,,"Collections, University Libraries, Ball State University"
6,,and the Online Distributed Proofreading Team at
7,,https://www.pgdp.net
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,[Illustration]
18,,
19,,Watt's Songs
20,AGAINST,AGAINST
21,FAULTS,FAULTS
22,FAULTS,
23,FAULTS,"McLOUGHLIN BROS., Publishers,"
24,NEW YORK.,NEW YORK.
25,NEW YORK.,
26,NEW YORK.,
27,NEW YORK.,
28,NEW YORK.,
29,_WATTS' DIVINE AND MORAL SONGS._,_WATTS' DIVINE AND MORAL SONGS._
30,_WATTS' DIVINE AND MORAL SONGS._,
31,_WATTS' DIVINE AND MORAL SONGS._,
32,_WATTS' DIVINE AND MORAL SONGS._,
33,_WATTS' DIVINE AND MORAL SONGS._,
34,_WATTS' DIVINE AND MORAL SONGS._,[Illustration]
35,_WATTS' DIVINE AND MORAL SONGS._,
36,AGAINST LYING.,AGAINST LYING.
37,AGAINST LYING.,
38,AGAINST LYING.,
39,AGAINST LYING.,O 'tis a lovely thing for youth
40,AGAINST LYING.,To walk betimes in wisdom's way;
41,AGAINST LYING.,"To fear a lie, to speak the truth,"
42,AGAINST LYING.,That we may trust to all they say!
43,AGAINST LYING.,
44,AGAINST LYING.,"But liars we can never trust,"
45,AGAINST LYING.,Though they should speak the thing that's true;
46,AGAINST LYING.,"And he that does one fault at first,"
47,AGAINST LYING.,"And lies to hide it, makes it two."
48,AGAINST LYING.,
49,AGAINST LYING.,"Have we not known, nor heard nor read"
50,AGAINST LYING.,How God abhors deceit and wrong?
51,AGAINST LYING.,"How Ananias was struck dead,"
52,AGAINST LYING.,Caught with a lie upon his tongue?
53,AGAINST LYING.,
54,AGAINST LYING.,"So did his wife Sapphira die,"
55,AGAINST LYING.,"When she came in, and grew so bold"
56,AGAINST LYING.,"As to confirm that wicked lie,"
57,AGAINST LYING.,Which just before her husband told.
58,AGAINST LYING.,
59,AGAINST LYING.,The Lord delights in them that speak
60,AGAINST LYING.,The words of truth; but every liar
61,AGAINST LYING.,Must have his portion in the lake
62,AGAINST LYING.,That burns with brimstone and with fire.
63,AGAINST LYING.,
64,AGAINST LYING.,"Then let me always watch my lips,"
65,AGAINST LYING.,"Lest I be struck to death and hell,"
66,AGAINST LYING.,Since God a book of reckoning keeps
67,AGAINST LYING.,For every lie that children tell.
68,AGAINST LYING.,
69,AGAINST LYING.,
70,AGAINST LYING.,
71,AGAINST LYING.,
72,AGAINST LYING.,[Illustration]
73,AGAINST LYING.,
74,LOVE BETWEEN BROTHERS AND SISTERS.,LOVE BETWEEN BROTHERS AND SISTERS.
75,LOVE BETWEEN BROTHERS AND SISTERS.,
76,LOVE BETWEEN BROTHERS AND SISTERS.,
