,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Louise Hope, Marilynda Fraser-Cunliffe and the"
5,,Online Distributed Proofreading Team at http://www.pgdp.net
6,,(This file was made using scans of public domain works in
7,,the International Children's Digital Library.)
8,,
9,,
10,,
11,,
12,,
13,,
14,,[Transcriber's Note:
15,,
16,,Illustrations in this picture book are not individually marked.
17,,Each color plate has a short poem written within the plate; these
18,,are not listed in the Table of Contents. The inconsistent sequence
19,,"of ""Dick Whittington"" and ""Puss in Boots"", and the spelling of ""Jack"
20,,"and Jill"" (or ""Gill"") are unchanged.]"
21,,
22,,
23,,
24,,
25,ON THE TREE TOP,ON THE TREE TOP
26,ON THE TREE TOP,
27,ON THE TREE TOP,by
28,ON THE TREE TOP,
29,ON THE TREE TOP,Clara Doty Bates And Others.
30,ON THE TREE TOP,
31,ON THE TREE TOP,
32,ON THE TREE TOP,"Illustrated by F. T. Merrill, Jessie Curtis,"
33,ON THE TREE TOP,and Other Well Known Artists.
34,ON THE TREE TOP,
35,ON THE TREE TOP,
36,ON THE TREE TOP,Boston:
37,D. LOTHROP & COMPANY,D. LOTHROP & COMPANY
38,D. LOTHROP & COMPANY,"Franklin Street, Cor. Hawley."
39,D. LOTHROP & COMPANY,
40,D. LOTHROP & COMPANY,
41,D. LOTHROP & COMPANY,
42,D. LOTHROP & COMPANY,
43,D. LOTHROP & COMPANY,"Copyright, 1881,"
44,D. LOTHROP & COMPANY,By D. Lothrop & Company.
45,D. LOTHROP & COMPANY,
46,D. LOTHROP & COMPANY,
47,D. LOTHROP & COMPANY,
48,D. LOTHROP & COMPANY,
49,CONTENTS.,CONTENTS.
50,CONTENTS.,
51,CONTENTS.,
52,I.,I.
53,_THE GOLD SPINNER._,_THE GOLD SPINNER._
54,_THE GOLD SPINNER._,
55,II.,II.
56,_A FISH STORY._,_A FISH STORY._
57,_A FISH STORY._,
58,III.,III.
59,_PUSSY CAT'S DOINGS._,_PUSSY CAT'S DOINGS._
60,_PUSSY CAT'S DOINGS._,
61,IV.,IV.
62,_THE THREE LITTLE KITTENS._,_THE THREE LITTLE KITTENS._
63,_THE THREE LITTLE KITTENS._,
64,V.,V.
65,_THE GROUND SQUIRREL._,_THE GROUND SQUIRREL._
66,_THE GROUND SQUIRREL._,
67,VI.,VI.
68,_BABY'S TROTTING SONG._,_BABY'S TROTTING SONG._
69,_BABY'S TROTTING SONG._,
70,VII.,VII.
71,_JOHN S. CROW._,_JOHN S. CROW._
72,_JOHN S. CROW._,
73,VIII.,VIII.
74,_SILVER LOCKS AND THE BEARS._,_SILVER LOCKS AND THE BEARS._
75,_SILVER LOCKS AND THE BEARS._,
76,IX.,IX.
77,_JACK AND THE BEAN-STALK._,_JACK AND THE BEAN-STALK._
78,_JACK AND THE BEAN-STALK._,
79,X.,X.
