,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Sankar Viswanathan, Juliet Sutherland, and the"
5,,Online Distributed Proofreading Team at http://www.pgdp.net
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,"[Illustration: ""And sing to the praise of the Doll""]"
15,,
16,,
17,_CHILDREN'S CRIMSON SERIES_,_CHILDREN'S CRIMSON SERIES_
18,_CHILDREN'S CRIMSON SERIES_,
19,_CHILDREN'S CRIMSON SERIES_,
20,PINAFORE PALACE,PINAFORE PALACE
21,PINAFORE PALACE,
22,PINAFORE PALACE,
23,BY,BY
24,BY,
25,KATE DOUGLAS WIGGIN,KATE DOUGLAS WIGGIN
26,KATE DOUGLAS WIGGIN,
27,AND,AND
28,AND,
29,NORA ARCHIBALD SMITH,NORA ARCHIBALD SMITH
30,NORA ARCHIBALD SMITH,
31,NORA ARCHIBALD SMITH,
32,NORA ARCHIBALD SMITH,
33,NORA ARCHIBALD SMITH,
34,NORA ARCHIBALD SMITH,
35,NORA ARCHIBALD SMITH,
36,GROSSET & DUNLAP PUBLISHERS NEW YORK,GROSSET & DUNLAP PUBLISHERS NEW YORK
37,GROSSET & DUNLAP PUBLISHERS NEW YORK,
38,GROSSET & DUNLAP PUBLISHERS NEW YORK,
39,GROSSET & DUNLAP PUBLISHERS NEW YORK,
40,GROSSET & DUNLAP PUBLISHERS NEW YORK,
41,GROSSET & DUNLAP PUBLISHERS NEW YORK,"_Copyright, 1907, by The McClure Company_"
42,GROSSET & DUNLAP PUBLISHERS NEW YORK,
43,GROSSET & DUNLAP PUBLISHERS NEW YORK,*       *       *       *       *
44,GROSSET & DUNLAP PUBLISHERS NEW YORK,
45,GROSSET & DUNLAP PUBLISHERS NEW YORK,
46,GROSSET & DUNLAP PUBLISHERS NEW YORK,
47,GROSSET & DUNLAP PUBLISHERS NEW YORK,
48,PREFACE,PREFACE
49,PREFACE,
50,PREFACE,
51,TO THE MOTHER,TO THE MOTHER
52,TO THE MOTHER,
53,TO THE MOTHER,"_""A Court as of angels,"
54,TO THE MOTHER,"A public not to be bribed,"
55,TO THE MOTHER,"Not to be entreated,"
56,TO THE MOTHER,"Not to be overawed.""_"
57,TO THE MOTHER,
58,TO THE MOTHER,"_Such is the audience--in long clothes or short frocks, in pinafores"
59,TO THE MOTHER,"or kilts, or in the brief trousers that bespeak the budding man--such"
60,TO THE MOTHER,"is the crowing, laughing court, the toddling public that awaits these"
61,TO THE MOTHER,verses._
62,TO THE MOTHER,
63,TO THE MOTHER,"_Every home, large or small, poor or rich, that has a child in it, is"
64,TO THE MOTHER,"a Pinafore Palace, and we have borrowed the phrase from one of"
65,TO THE MOTHER,"childhood's most whimsical and devoted poets-laureate, thinking no"
66,TO THE MOTHER,other words would so well express our meaning._
67,TO THE MOTHER,
