,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Juliet Sutherland, Josephine Paolucci and the"
5,,Online Distributed Proofreading Team at https://www.pgdp.net.
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,McCLURE'S LIBRARY OF CHILDREN'S CLASSICS
14,,
15,EDITED BY KATE DOUGLAS WIGGIN AND NORA ARCHIBALD SMITH,EDITED BY KATE DOUGLAS WIGGIN AND NORA ARCHIBALD SMITH
16,EDITED BY KATE DOUGLAS WIGGIN AND NORA ARCHIBALD SMITH,
17,GOLDEN NUMBERS,GOLDEN NUMBERS
18,A BOOK OF VERSE FOR YOUTH,A BOOK OF VERSE FOR YOUTH
19,A BOOK OF VERSE FOR YOUTH,
20,THE POSY RING,THE POSY RING
21,A BOOK OF VERSE FOR CHILDREN,A BOOK OF VERSE FOR CHILDREN
22,A BOOK OF VERSE FOR CHILDREN,
23,PINAFORE PALACE,PINAFORE PALACE
24,A BOOK OF RHYMES FOR THE NURSERY,A BOOK OF RHYMES FOR THE NURSERY
25,A BOOK OF RHYMES FOR THE NURSERY,
26,A BOOK OF RHYMES FOR THE NURSERY,_Library of Fairy Literature_
27,A BOOK OF RHYMES FOR THE NURSERY,
28,THE FAIRY RING,THE FAIRY RING
29,THE FAIRY RING,
30,MAGIC CASEMENTS A SECOND FAIRY BOOK,MAGIC CASEMENTS A SECOND FAIRY BOOK
31,MAGIC CASEMENTS A SECOND FAIRY BOOK,
32,OTHER VOLUMES TO FOLLOW,OTHER VOLUMES TO FOLLOW
33,OTHER VOLUMES TO FOLLOW,
34,OTHER VOLUMES TO FOLLOW,_Send to the publishers for Complete Descriptive Catalogue_
35,OTHER VOLUMES TO FOLLOW,
36,OTHER VOLUMES TO FOLLOW,
37,OTHER VOLUMES TO FOLLOW,
38,OTHER VOLUMES TO FOLLOW,
39,GOLDEN NUMBERS,GOLDEN NUMBERS
40,GOLDEN NUMBERS,
41,A BOOK OF VERSE FOR YOUTH,A BOOK OF VERSE FOR YOUTH
42,A BOOK OF VERSE FOR YOUTH,
43,CHOSEN AND CLASSIFIED BY,CHOSEN AND CLASSIFIED BY
44,CHOSEN AND CLASSIFIED BY,
45,CHOSEN AND CLASSIFIED BY,_Kate Douglas Wiggin_
46,CHOSEN AND CLASSIFIED BY,
47,AND,AND
48,AND,
49,AND,_Nora Archibald Smith_
50,AND,
51,WITH INTRODUCTION AND INTERLEAVES BY,WITH INTRODUCTION AND INTERLEAVES BY
52,WITH INTRODUCTION AND INTERLEAVES BY,
53,KATE DOUGLAS WIGGIN,KATE DOUGLAS WIGGIN
54,KATE DOUGLAS WIGGIN,
55,KATE DOUGLAS WIGGIN,[Illustration]
56,KATE DOUGLAS WIGGIN,
57,KATE DOUGLAS WIGGIN,"""_To add to golden numbers, golden numbers._"""
58,KATE DOUGLAS WIGGIN,
