,Poem Title,line
0,,
1,,
2,,
3,,
4,A PARIS PAIR,A PARIS PAIR
5,A PARIS PAIR,
6,A PARIS PAIR,
7,A PARIS PAIR,
8,A PARIS PAIR,
9,A PARIS PAIR,A PARIS PAIR
10,THEIR DAY’S DOINGS,THEIR DAY’S DOINGS
11,THEIR DAY’S DOINGS,
12,BY,BY
13,BEATRICE BRADSHAW BROWN,BEATRICE BRADSHAW BROWN
14,BEATRICE BRADSHAW BROWN,
15,ILLUSTRATED BY,ILLUSTRATED BY
16,BARBARA HAVEN BROWN,BARBARA HAVEN BROWN
17,BARBARA HAVEN BROWN,
18,BARBARA HAVEN BROWN,[Illustration]
19,BARBARA HAVEN BROWN,
20,NEW YORK,NEW YORK
21,E. P. DUTTON & COMPANY,E. P. DUTTON & COMPANY
22,681 FIFTH AVENUE,681 FIFTH AVENUE
23,681 FIFTH AVENUE,
24,681 FIFTH AVENUE,
25,681 FIFTH AVENUE,"Copyright, 1923,"
26,681 FIFTH AVENUE,By E. P. DUTTON & COMPANY
27,681 FIFTH AVENUE,
28,681 FIFTH AVENUE,_All Rights Reserved._
29,681 FIFTH AVENUE,
30,681 FIFTH AVENUE,_Printed in the United States of America_
31,681 FIFTH AVENUE,
32,681 FIFTH AVENUE,
33,TO,TO
34,F. B. B.,F. B. B.
35,F. B. B.,
36,F. B. B.,
37,F. B. B.,
38,F. B. B.,
39,A PARIS PAIR,A PARIS PAIR
40,A PARIS PAIR,
41,A PARIS PAIR,
42,A PARIS PAIR,
43,A PARIS PAIR,
44,EIGHT O’CLOCK,EIGHT O’CLOCK
45,EIGHT O’CLOCK,
46,EIGHT O’CLOCK,
47,EIGHT O’CLOCK,Jeanette is not a sleepy-head;
48,EIGHT O’CLOCK,"An easy task, to wake her!"
49,EIGHT O’CLOCK,At eight o’clock she springs from bed--
50,EIGHT O’CLOCK,No need to call or shake her.
51,EIGHT O’CLOCK,Her brother Jean--I grieve to state--
52,EIGHT O’CLOCK,His patient _bonne_ distresses;
53,EIGHT O’CLOCK,’Tis often nearer nine than eight
54,EIGHT O’CLOCK,Before at last he dresses.
55,EIGHT O’CLOCK,
56,EIGHT O’CLOCK,[Illustration: EIGHT O’CLOCK]
57,EIGHT O’CLOCK,
58,EIGHT O’CLOCK,
59,EIGHT O’CLOCK,
60,EIGHT O’CLOCK,
61,NINE O’CLOCK,NINE O’CLOCK
62,NINE O’CLOCK,
63,NINE O’CLOCK,
64,NINE O’CLOCK,For _déjeuner_ our children eat
65,NINE O’CLOCK,A bowl of milk and bit of bread;
66,NINE O’CLOCK,"Or sometimes, for a special treat,"
67,NINE O’CLOCK,"A _croissant_, crisp and fresh, instead."
68,NINE O’CLOCK,"Jeanette displays her bringing up,"
69,NINE O’CLOCK,For daintily she sips and lingers.
70,NINE O’CLOCK,"Her brother drains his brimming cup,"
