,Poem Title,line
0,,
1,,
2,,E-text prepared by Justin Gillbank and Project Gutenberg Distributed
3,,Proofreaders from images provided by The Internet Archive Children's
4,,Library
5,,
6,,
7,,
8,,Note: Project Gutenberg also has an HTML version of this
9,,file which includes the original illustrations.
10,,See 11877-h.htm or 11877-h.zip:
11,,(http://www.ibiblio.org/gutenberg/1/1/8/7/11877/11877-h/11877-h.htm)
12,,or
13,,(http://www.ibiblio.org/gutenberg/1/1/8/7/11877/11877-h.zip)
14,,
15,,
16,,
17,,
18,,
19,MONKEY JACK AND OTHER STORIES,MONKEY JACK AND OTHER STORIES
20,MONKEY JACK AND OTHER STORIES,
21,MONKEY JACK AND OTHER STORIES,Edited by Palmer Cox
22,MONKEY JACK AND OTHER STORIES,
23,MONKEY JACK AND OTHER STORIES,
24,MONKEY JACK AND OTHER STORIES,
25,MONKEY JACK AND OTHER STORIES,
26,MONKEY JACK AND OTHER STORIES,
27,MONKEY JACK AND OTHER STORIES,
28,MONKEY JACK AND OTHER STORIES,
29,MONKEY JACK.,MONKEY JACK.
30,MONKEY JACK.,
31,MONKEY JACK.,
32,MONKEY JACK.,"A lit-tle maid weeps pit-e-ous-ly,"
33,MONKEY JACK.,In dire dis-tress de-mand-ing aid;
34,MONKEY JACK.,"Her pre-cious ball is up a tree,"
35,MONKEY JACK.,And ev-ery boy shrinks back a-fraid.
36,MONKEY JACK.,
37,MONKEY JACK.,"It hangs a-loft, a shin-ing thing,"
38,MONKEY JACK.,"Caught by the ve-ry top-most spray,"
39,MONKEY JACK.,Where slen-der branch-es ta-per-ing
40,MONKEY JACK.,'Neath the light bur-den move and sway.
41,MONKEY JACK.,
42,MONKEY JACK.,"Hur-rah! he comes whom all ad-mire,"
43,MONKEY JACK.,"Whose nim-ble legs, and lis-som back,"
44,MONKEY JACK.,"And read-y pluck, that naught can tire,"
45,MONKEY JACK.,"Win him the name of ""Mon-key Jack."""
46,MONKEY JACK.,
47,MONKEY JACK.,See how he leaps from bough to bough
48,MONKEY JACK.,To gain that most be-lov'd of balls!
49,MONKEY JACK.,His out-stretch'd hand has caught it now;
50,MONKEY JACK.,The branch gives way--the he-ro falls!
51,MONKEY JACK.,
52,MONKEY JACK.,"The fright-en'd chil-dren ut-ter cries,"
53,MONKEY JACK.,But e-ven yet he does his best;
54,MONKEY JACK.,"His vic-tor hand re-tains the prize,"
55,MONKEY JACK.,And clasps it to his faith-ful breast.
56,MONKEY JACK.,
57,MONKEY JACK.,"Laid on his bed, com-pos'd, though sad,"
58,MONKEY JACK.,"With bro-ken leg and in-jured back,"
59,MONKEY JACK.,"We find a lit-tle pa-tient lad,"
60,MONKEY JACK.,"A-las, no long-er ""Mon-key Jack!"""
61,MONKEY JACK.,
62,MONKEY JACK.,[Illustration]
63,MONKEY JACK.,
